,Cont,Pick,Type,Mass,Cont Type,HI
0,0.0,1.0,PH,1 Tomato,Uniform,130536.0
1,20238.0,1.0,PH,1 Tomato,Uniform,130536.0
2,0.0,1.0,PH,1 Tomato,Uniform,130536.0
3,0.0,1.0,PH,1 Tomato,Uniform,130536.0
4,0.0,1.0,PH,1 Tomato,Uniform,130536.0
5,0.0,1.0,PH,1 Tomato,Uniform,130536.0
6,0.0,1.0,PH,1 Tomato,Uniform,130536.0
7,20294.0,1.0,PH,1 Tomato,Uniform,130536.0
8,0.0,1.0,PH,1 Tomato,Uniform,130536.0
9,0.0,1.0,PH,1 Tomato,Uniform,130536.0
10,0.0,1.0,PH,1 Tomato,Uniform,130536.0
11,0.0,1.0,PH,1 Tomato,Uniform,130536.0
12,0.0,1.0,PH,1 Tomato,Uniform,130536.0
13,0.0,1.0,PH,1 Tomato,Uniform,130536.0
14,0.0,1.0,PH,1 Tomato,Uniform,130536.0
15,0.0,1.0,PH,1 Tomato,Uniform,130536.0
16,0.0,1.0,PH,1 Tomato,Uniform,130536.0
17,0.0,1.0,PH,1 Tomato,Uniform,130536.0
18,0.0,1.0,PH,1 Tomato,Uniform,130536.0
19,33785.0,1.0,PH,1 Tomato,Uniform,130536.0
20,0.0,1.0,PH,1 Tomato,Uniform,130536.0
21,0.0,1.0,PH,1 Tomato,Uniform,130536.0
22,0.0,1.0,PH,1 Tomato,Uniform,130536.0
23,33636.0,1.0,PH,1 Tomato,Uniform,130536.0
24,12245.0,1.0,PH,1 Tomato,Uniform,130536.0
25,0.0,1.0,PH,1 Tomato,Uniform,130536.0
26,0.0,1.0,PH,1 Tomato,Uniform,130536.0
27,0.0,1.0,PH,1 Tomato,Uniform,130536.0
28,0.0,1.0,PH,1 Tomato,Uniform,130536.0
29,0.0,1.0,PH,1 Tomato,Uniform,130536.0
30,0.0,1.0,PH,1 Tomato,Uniform,130536.0
31,0.0,1.0,PH,1 Tomato,Uniform,130536.0
32,0.0,1.0,PH,1 Tomato,Uniform,130536.0
33,25934.0,1.0,PH,1 Tomato,Uniform,130536.0
34,0.0,1.0,PH,1 Tomato,Uniform,130536.0
35,0.0,1.0,PH,1 Tomato,Uniform,130536.0
36,0.0,1.0,PH,1 Tomato,Uniform,130536.0
37,0.0,1.0,PH,1 Tomato,Uniform,130536.0
38,0.0,1.0,PH,1 Tomato,Uniform,130536.0
39,26100.0,1.0,PH,1 Tomato,Uniform,130536.0
40,0.0,1.0,PH,1 Tomato,Uniform,130536.0
41,7196.0,1.0,PH,1 Tomato,Uniform,130536.0
42,0.0,1.0,PH,1 Tomato,Uniform,130536.0
43,0.0,1.0,PH,1 Tomato,Uniform,130536.0
44,0.0,1.0,PH,1 Tomato,Uniform,130536.0
45,0.0,1.0,PH,1 Tomato,Uniform,130536.0
46,0.0,1.0,PH,1 Tomato,Uniform,130536.0
47,26095.0,1.0,PH,1 Tomato,Uniform,130536.0
48,0.0,1.0,PH,1 Tomato,Uniform,130536.0
49,0.0,1.0,PH,1 Tomato,Uniform,130536.0
0,5066.0,2.0,PH,1 Tomato,Uniform,130536.0
1,615.0,2.0,PH,1 Tomato,Uniform,130536.0
2,39288.0,2.0,PH,1 Tomato,Uniform,130536.0
3,0.0,2.0,PH,1 Tomato,Uniform,130536.0
4,30503.0,2.0,PH,1 Tomato,Uniform,130536.0
5,2697.0,2.0,PH,1 Tomato,Uniform,130536.0
6,18106.0,2.0,PH,1 Tomato,Uniform,130536.0
7,535.0,2.0,PH,1 Tomato,Uniform,130536.0
8,2584.0,2.0,PH,1 Tomato,Uniform,130536.0
9,0.0,2.0,PH,1 Tomato,Uniform,130536.0
10,0.0,2.0,PH,1 Tomato,Uniform,130536.0
11,1979.0,2.0,PH,1 Tomato,Uniform,130536.0
12,30499.0,2.0,PH,1 Tomato,Uniform,130536.0
13,0.0,2.0,PH,1 Tomato,Uniform,130536.0
