,Cont,Pick,Type,Mass,Cont Type,HI
0,0.0,1.0,PH,1 Tomato,Uniform,120416.0
1,0.0,1.0,PH,1 Tomato,Uniform,120416.0
2,8773.0,1.0,PH,1 Tomato,Uniform,120416.0
3,24101.0,1.0,PH,1 Tomato,Uniform,120416.0
4,0.0,1.0,PH,1 Tomato,Uniform,120416.0
5,0.0,1.0,PH,1 Tomato,Uniform,120416.0
6,0.0,1.0,PH,1 Tomato,Uniform,120416.0
7,0.0,1.0,PH,1 Tomato,Uniform,120416.0
8,3121.0,1.0,PH,1 Tomato,Uniform,120416.0
9,0.0,1.0,PH,1 Tomato,Uniform,120416.0
10,0.0,1.0,PH,1 Tomato,Uniform,120416.0
11,0.0,1.0,PH,1 Tomato,Uniform,120416.0
12,0.0,1.0,PH,1 Tomato,Uniform,120416.0
13,0.0,1.0,PH,1 Tomato,Uniform,120416.0
14,31090.0,1.0,PH,1 Tomato,Uniform,120416.0
15,0.0,1.0,PH,1 Tomato,Uniform,120416.0
16,0.0,1.0,PH,1 Tomato,Uniform,120416.0
17,11286.0,1.0,PH,1 Tomato,Uniform,120416.0
18,31243.0,1.0,PH,1 Tomato,Uniform,120416.0
19,0.0,1.0,PH,1 Tomato,Uniform,120416.0
20,8485.0,1.0,PH,1 Tomato,Uniform,120416.0
21,0.0,1.0,PH,1 Tomato,Uniform,120416.0
22,0.0,1.0,PH,1 Tomato,Uniform,120416.0
23,5179.0,1.0,PH,1 Tomato,Uniform,120416.0
24,18456.0,1.0,PH,1 Tomato,Uniform,120416.0
25,3961.0,1.0,PH,1 Tomato,Uniform,120416.0
26,8614.0,1.0,PH,1 Tomato,Uniform,120416.0
27,0.0,1.0,PH,1 Tomato,Uniform,120416.0
28,0.0,1.0,PH,1 Tomato,Uniform,120416.0
29,0.0,1.0,PH,1 Tomato,Uniform,120416.0
30,0.0,1.0,PH,1 Tomato,Uniform,120416.0
31,0.0,1.0,PH,1 Tomato,Uniform,120416.0
32,0.0,1.0,PH,1 Tomato,Uniform,120416.0
33,0.0,1.0,PH,1 Tomato,Uniform,120416.0
34,3944.0,1.0,PH,1 Tomato,Uniform,120416.0
35,0.0,1.0,PH,1 Tomato,Uniform,120416.0
36,0.0,1.0,PH,1 Tomato,Uniform,120416.0
37,0.0,1.0,PH,1 Tomato,Uniform,120416.0
38,0.0,1.0,PH,1 Tomato,Uniform,120416.0
39,0.0,1.0,PH,1 Tomato,Uniform,120416.0
40,0.0,1.0,PH,1 Tomato,Uniform,120416.0
41,0.0,1.0,PH,1 Tomato,Uniform,120416.0
42,0.0,1.0,PH,1 Tomato,Uniform,120416.0
43,0.0,1.0,PH,1 Tomato,Uniform,120416.0
44,0.0,1.0,PH,1 Tomato,Uniform,120416.0
45,0.0,1.0,PH,1 Tomato,Uniform,120416.0
46,4050.0,1.0,PH,1 Tomato,Uniform,120416.0
47,0.0,1.0,PH,1 Tomato,Uniform,120416.0
48,24074.0,1.0,PH,1 Tomato,Uniform,120416.0
49,40337.0,1.0,PH,1 Tomato,Uniform,120416.0
0,28002.0,2.0,PH,1 Tomato,Uniform,120416.0
1,35896.0,2.0,PH,1 Tomato,Uniform,120416.0
2,248.0,2.0,PH,1 Tomato,Uniform,120416.0
3,696.0,2.0,PH,1 Tomato,Uniform,120416.0
4,21865.0,2.0,PH,1 Tomato,Uniform,120416.0
5,59721.0,2.0,PH,1 Tomato,Uniform,120416.0
6,60161.0,2.0,PH,1 Tomato,Uniform,120416.0
