,Cont,Pick,Type,Mass,Cont Type,HI
0,0.0,1.0,PH,1 Tomato,Uniform,104003.0
1,20766.0,1.0,PH,1 Tomato,Uniform,104003.0
2,5844.0,1.0,PH,1 Tomato,Uniform,104003.0
3,0.0,1.0,PH,1 Tomato,Uniform,104003.0
4,0.0,1.0,PH,1 Tomato,Uniform,104003.0
5,0.0,1.0,PH,1 Tomato,Uniform,104003.0
6,0.0,1.0,PH,1 Tomato,Uniform,104003.0
7,0.0,1.0,PH,1 Tomato,Uniform,104003.0
8,0.0,1.0,PH,1 Tomato,Uniform,104003.0
9,0.0,1.0,PH,1 Tomato,Uniform,104003.0
10,0.0,1.0,PH,1 Tomato,Uniform,104003.0
11,0.0,1.0,PH,1 Tomato,Uniform,104003.0
12,0.0,1.0,PH,1 Tomato,Uniform,104003.0
13,0.0,1.0,PH,1 Tomato,Uniform,104003.0
14,12392.0,1.0,PH,1 Tomato,Uniform,104003.0
15,0.0,1.0,PH,1 Tomato,Uniform,104003.0
16,0.0,1.0,PH,1 Tomato,Uniform,104003.0
17,0.0,1.0,PH,1 Tomato,Uniform,104003.0
18,0.0,1.0,PH,1 Tomato,Uniform,104003.0
19,4493.0,1.0,PH,1 Tomato,Uniform,104003.0
20,26900.0,1.0,PH,1 Tomato,Uniform,104003.0
21,34553.0,1.0,PH,1 Tomato,Uniform,104003.0
22,20920.0,1.0,PH,1 Tomato,Uniform,104003.0
23,0.0,1.0,PH,1 Tomato,Uniform,104003.0
24,0.0,1.0,PH,1 Tomato,Uniform,104003.0
25,0.0,1.0,PH,1 Tomato,Uniform,104003.0
26,0.0,1.0,PH,1 Tomato,Uniform,104003.0
27,0.0,1.0,PH,1 Tomato,Uniform,104003.0
28,16050.0,1.0,PH,1 Tomato,Uniform,104003.0
29,0.0,1.0,PH,1 Tomato,Uniform,104003.0
30,0.0,1.0,PH,1 Tomato,Uniform,104003.0
31,2627.0,1.0,PH,1 Tomato,Uniform,104003.0
32,7353.0,1.0,PH,1 Tomato,Uniform,104003.0
33,0.0,1.0,PH,1 Tomato,Uniform,104003.0
34,0.0,1.0,PH,1 Tomato,Uniform,104003.0
35,0.0,1.0,PH,1 Tomato,Uniform,104003.0
36,0.0,1.0,PH,1 Tomato,Uniform,104003.0
37,0.0,1.0,PH,1 Tomato,Uniform,104003.0
38,0.0,1.0,PH,1 Tomato,Uniform,104003.0
39,0.0,1.0,PH,1 Tomato,Uniform,104003.0
40,0.0,1.0,PH,1 Tomato,Uniform,104003.0
41,0.0,1.0,PH,1 Tomato,Uniform,104003.0
42,0.0,1.0,PH,1 Tomato,Uniform,104003.0
43,4496.0,1.0,PH,1 Tomato,Uniform,104003.0
44,0.0,1.0,PH,1 Tomato,Uniform,104003.0
45,0.0,1.0,PH,1 Tomato,Uniform,104003.0
46,7336.0,1.0,PH,1 Tomato,Uniform,104003.0
47,0.0,1.0,PH,1 Tomato,Uniform,104003.0
48,0.0,1.0,PH,1 Tomato,Uniform,104003.0
49,7380.0,1.0,PH,1 Tomato,Uniform,104003.0
0,51923.0,2.0,PH,1 Tomato,Uniform,104003.0
1,0.0,2.0,PH,1 Tomato,Uniform,104003.0
2,131.0,2.0,PH,1 Tomato,Uniform,104003.0
3,5084.0,2.0,PH,1 Tomato,Uniform,104003.0
4,5268.0,2.0,PH,1 Tomato,Uniform,104003.0
5,0.0,2.0,PH,1 Tomato,Uniform,104003.0
6,0.0,2.0,PH,1 Tomato,Uniform,104003.0
7,18602.0,2.0,PH,1 Tomato,Uniform,104003.0
8,3992.0,2.0,PH,1 Tomato,Uniform,104003.0
9,0.0,2.0,PH,1 Tomato,Uniform,104003.0
10,0.0,2.0,PH,1 Tomato,Uniform,104003.0
11,0.0,2.0,PH,1 Tomato,Uniform,104003.0
12,0.0,2.0,PH,1 Tomato,Uniform,104003.0
13,6736.0,2.0,PH,1 Tomato,Uniform,104003.0
14,369.0,2.0,PH,1 Tomato,Uniform,104003.0
15,2017.0,2.0,PH,1 Tomato,Uniform,104003.0
16,40262.0,2.0,PH,1 Tomato,Uniform,104003.0
17,0.0,2.0,PH,1 Tomato,Uniform,104003.0
18,1236.0,2.0,PH,1 Tomato,Uniform,104003.0
19,142.0,2.0,PH,1 Tomato,Uniform,104003.0
20,766.0,2.0,PH,1 Tomato,Uniform,104003.0
21,0.0,2.0,PH,1 Tomato,Uniform,104003.0
22,586.0,2.0,PH,1 Tomato,Uniform,104003.0
23,11192.0,2.0,PH,1 Tomato,Uniform,104003.0
24,51948.0,2.0,PH,1 Tomato,Uniform,104003.0
25,52136.0,2.0,PH,1 Tomato,Uniform,104003.0
26,1641.0,2.0,PH,1 Tomato,Uniform,104003.0
27,0.0,2.0,PH,1 Tomato,Uniform,104003.0
28,474.0,2.0,PH,1 Tomato,Uniform,104003.0
29,0.0,2.0,PH,1 Tomato,Uniform,104003.0
30,0.0,2.0,PH,1 Tomato,Uniform,104003.0
31,71.0,2.0,PH,1 Tomato,Uniform,104003.0
32,203.0,2.0,PH,1 Tomato,Uniform,104003.0
33,0.0,2.0,PH,1 Tomato,Uniform,104003.0
34,0.0,2.0,PH,1 Tomato,Uniform,104003.0
35,0.0,2.0,PH,1 Tomato,Uniform,104003.0
36,24223.0,2.0,PH,1 Tomato,Uniform,104003.0
37,0.0,2.0,PH,1 Tomato,Uniform,104003.0
38,0.0,2.0,PH,1 Tomato,Uniform,104003.0
39,2039.0,2.0,PH,1 Tomato,Uniform,104003.0
40,0.0,2.0,PH,1 Tomato,Uniform,104003.0
41,52062.0,2.0,PH,1 Tomato,Uniform,104003.0
42,0.0,2.0,PH,1 Tomato,Uniform,104003.0
43,132.0,2.0,PH,1 Tomato,Uniform,104003.0
44,0.0,2.0,PH,1 Tomato,Uniform,104003.0
45,8670.0,2.0,PH,1 Tomato,Uniform,104003.0
46,209.0,2.0,PH,1 Tomato,Uniform,104003.0
47,30925.0,2.0,PH,1 Tomato,Uniform,104003.0
48,0.0,2.0,PH,1 Tomato,Uniform,104003.0
49,209.0,2.0,PH,1 Tomato,Uniform,104003.0
0,0.0,3.0,PH,1 Tomato,Uniform,104003.0
1,0.0,3.0,PH,1 Tomato,Uniform,104003.0
2,3.0,3.0,PH,1 Tomato,Uniform,104003.0
3,130.0,3.0,PH,1 Tomato,Uniform,104003.0
4,162.0,3.0,PH,1 Tomato,Uniform,104003.0
5,0.0,3.0,PH,1 Tomato,Uniform,104003.0
6,62327.0,3.0,PH,1 Tomato,Uniform,104003.0
7,554.0,3.0,PH,1 Tomato,Uniform,104003.0
8,121.0,3.0,PH,1 Tomato,Uniform,104003.0
9,10199.0,3.0,PH,1 Tomato,Uniform,104003.0
10,62296.0,3.0,PH,1 Tomato,Uniform,104003.0
11,8130.0,3.0,PH,1 Tomato,Uniform,104003.0
12,13626.0,3.0,PH,1 Tomato,Uniform,104003.0
13,202.0,3.0,PH,1 Tomato,Uniform,104003.0
14,10.0,3.0,PH,1 Tomato,Uniform,104003.0
15,58.0,3.0,PH,1 Tomato,Uniform,104003.0
16,0.0,3.0,PH,1 Tomato,Uniform,104003.0
17,29066.0,3.0,PH,1 Tomato,Uniform,104003.0
18,33.0,3.0,PH,1 Tomato,Uniform,104003.0
19,2.0,3.0,PH,1 Tomato,Uniform,104003.0
20,12.0,3.0,PH,1 Tomato,Uniform,104003.0
21,0.0,3.0,PH,1 Tomato,Uniform,104003.0
22,8.0,3.0,PH,1 Tomato,Uniform,104003.0
23,319.0,3.0,PH,1 Tomato,Uniform,104003.0
24,1404.0,3.0,PH,1 Tomato,Uniform,104003.0
25,0.0,3.0,PH,1 Tomato,Uniform,104003.0
26,34.0,3.0,PH,1 Tomato,Uniform,104003.0
27,0.0,3.0,PH,1 Tomato,Uniform,104003.0
28,16.0,3.0,PH,1 Tomato,Uniform,104003.0
29,48225.0,3.0,PH,1 Tomato,Uniform,104003.0
30,37387.0,3.0,PH,1 Tomato,Uniform,104003.0
31,2.0,3.0,PH,1 Tomato,Uniform,104003.0
32,5.0,3.0,PH,1 Tomato,Uniform,104003.0
33,62439.0,3.0,PH,1 Tomato,Uniform,104003.0
34,29136.0,3.0,PH,1 Tomato,Uniform,104003.0
35,48210.0,3.0,PH,1 Tomato,Uniform,104003.0
36,708.0,3.0,PH,1 Tomato,Uniform,104003.0
37,104003.0,3.0,PH,1 Tomato,Uniform,104003.0
38,0.0,3.0,PH,1 Tomato,Uniform,104003.0
39,54.0,3.0,PH,1 Tomato,Uniform,104003.0
40,10329.0,3.0,PH,1 Tomato,Uniform,104003.0
41,1406.0,3.0,PH,1 Tomato,Uniform,104003.0
42,0.0,3.0,PH,1 Tomato,Uniform,104003.0
43,5.0,3.0,PH,1 Tomato,Uniform,104003.0
44,2412.0,3.0,PH,1 Tomato,Uniform,104003.0
45,234.0,3.0,PH,1 Tomato,Uniform,104003.0
46,4.0,3.0,PH,1 Tomato,Uniform,104003.0
47,914.0,3.0,PH,1 Tomato,Uniform,104003.0
48,47973.0,3.0,PH,1 Tomato,Uniform,104003.0
49,4.0,3.0,PH,1 Tomato,Uniform,104003.0
0,0.0,1.0,PH,1 Tomato,Uniform,175309.0
1,34769.0,1.0,PH,1 Tomato,Uniform,175309.0
2,9722.0,1.0,PH,1 Tomato,Uniform,175309.0
3,0.0,1.0,PH,1 Tomato,Uniform,175309.0
4,0.0,1.0,PH,1 Tomato,Uniform,175309.0
5,0.0,1.0,PH,1 Tomato,Uniform,175309.0
6,0.0,1.0,PH,1 Tomato,Uniform,175309.0
7,0.0,1.0,PH,1 Tomato,Uniform,175309.0
8,0.0,1.0,PH,1 Tomato,Uniform,175309.0
9,0.0,1.0,PH,1 Tomato,Uniform,175309.0
10,0.0,1.0,PH,1 Tomato,Uniform,175309.0
11,0.0,1.0,PH,1 Tomato,Uniform,175309.0
12,0.0,1.0,PH,1 Tomato,Uniform,175309.0
13,0.0,1.0,PH,1 Tomato,Uniform,175309.0
14,20853.0,1.0,PH,1 Tomato,Uniform,175309.0
15,0.0,1.0,PH,1 Tomato,Uniform,175309.0
16,0.0,1.0,PH,1 Tomato,Uniform,175309.0
17,0.0,1.0,PH,1 Tomato,Uniform,175309.0
18,0.0,1.0,PH,1 Tomato,Uniform,175309.0
19,7589.0,1.0,PH,1 Tomato,Uniform,175309.0
20,45432.0,1.0,PH,1 Tomato,Uniform,175309.0
21,58212.0,1.0,PH,1 Tomato,Uniform,175309.0
22,34879.0,1.0,PH,1 Tomato,Uniform,175309.0
23,0.0,1.0,PH,1 Tomato,Uniform,175309.0
24,0.0,1.0,PH,1 Tomato,Uniform,175309.0
25,0.0,1.0,PH,1 Tomato,Uniform,175309.0
26,0.0,1.0,PH,1 Tomato,Uniform,175309.0
27,0.0,1.0,PH,1 Tomato,Uniform,175309.0
28,27168.0,1.0,PH,1 Tomato,Uniform,175309.0
29,0.0,1.0,PH,1 Tomato,Uniform,175309.0
30,0.0,1.0,PH,1 Tomato,Uniform,175309.0
31,4535.0,1.0,PH,1 Tomato,Uniform,175309.0
32,12449.0,1.0,PH,1 Tomato,Uniform,175309.0
33,0.0,1.0,PH,1 Tomato,Uniform,175309.0
34,0.0,1.0,PH,1 Tomato,Uniform,175309.0
35,0.0,1.0,PH,1 Tomato,Uniform,175309.0
36,0.0,1.0,PH,1 Tomato,Uniform,175309.0
37,0.0,1.0,PH,1 Tomato,Uniform,175309.0
38,0.0,1.0,PH,1 Tomato,Uniform,175309.0
39,0.0,1.0,PH,1 Tomato,Uniform,175309.0
40,0.0,1.0,PH,1 Tomato,Uniform,175309.0
41,0.0,1.0,PH,1 Tomato,Uniform,175309.0
42,0.0,1.0,PH,1 Tomato,Uniform,175309.0
43,7750.0,1.0,PH,1 Tomato,Uniform,175309.0
44,0.0,1.0,PH,1 Tomato,Uniform,175309.0
45,0.0,1.0,PH,1 Tomato,Uniform,175309.0
46,12724.0,1.0,PH,1 Tomato,Uniform,175309.0
47,0.0,1.0,PH,1 Tomato,Uniform,175309.0
48,0.0,1.0,PH,1 Tomato,Uniform,175309.0
49,12848.0,1.0,PH,1 Tomato,Uniform,175309.0
0,87952.0,2.0,PH,1 Tomato,Uniform,175309.0
1,0.0,2.0,PH,1 Tomato,Uniform,175309.0
2,275.0,2.0,PH,1 Tomato,Uniform,175309.0
3,8798.0,2.0,PH,1 Tomato,Uniform,175309.0
4,8718.0,2.0,PH,1 Tomato,Uniform,175309.0
5,0.0,2.0,PH,1 Tomato,Uniform,175309.0
6,0.0,2.0,PH,1 Tomato,Uniform,175309.0
7,31634.0,2.0,PH,1 Tomato,Uniform,175309.0
8,6809.0,2.0,PH,1 Tomato,Uniform,175309.0
9,0.0,2.0,PH,1 Tomato,Uniform,175309.0
10,0.0,2.0,PH,1 Tomato,Uniform,175309.0
11,0.0,2.0,PH,1 Tomato,Uniform,175309.0
12,0.0,2.0,PH,1 Tomato,Uniform,175309.0
13,11527.0,2.0,PH,1 Tomato,Uniform,175309.0
14,581.0,2.0,PH,1 Tomato,Uniform,175309.0
15,3467.0,2.0,PH,1 Tomato,Uniform,175309.0
16,67822.0,2.0,PH,1 Tomato,Uniform,175309.0
17,0.0,2.0,PH,1 Tomato,Uniform,175309.0
18,2219.0,2.0,PH,1 Tomato,Uniform,175309.0
19,217.0,2.0,PH,1 Tomato,Uniform,175309.0
20,0.0,2.0,PH,1 Tomato,Uniform,175309.0
21,1690.0,2.0,PH,1 Tomato,Uniform,175309.0
22,1012.0,2.0,PH,1 Tomato,Uniform,175309.0
23,18793.0,2.0,PH,1 Tomato,Uniform,175309.0
24,87404.0,2.0,PH,1 Tomato,Uniform,175309.0
25,87356.0,2.0,PH,1 Tomato,Uniform,175309.0
26,2704.0,2.0,PH,1 Tomato,Uniform,175309.0
27,0.0,2.0,PH,1 Tomato,Uniform,175309.0
28,0.0,2.0,PH,1 Tomato,Uniform,175309.0
29,0.0,2.0,PH,1 Tomato,Uniform,175309.0
30,0.0,2.0,PH,1 Tomato,Uniform,175309.0
31,113.0,2.0,PH,1 Tomato,Uniform,175309.0
32,364.0,2.0,PH,1 Tomato,Uniform,175309.0
33,0.0,2.0,PH,1 Tomato,Uniform,175309.0
34,0.0,2.0,PH,1 Tomato,Uniform,175309.0
35,0.0,2.0,PH,1 Tomato,Uniform,175309.0
36,40636.0,2.0,PH,1 Tomato,Uniform,175309.0
37,0.0,2.0,PH,1 Tomato,Uniform,175309.0
38,0.0,2.0,PH,1 Tomato,Uniform,175309.0
39,3514.0,2.0,PH,1 Tomato,Uniform,175309.0
40,0.0,2.0,PH,1 Tomato,Uniform,175309.0
41,87764.0,2.0,PH,1 Tomato,Uniform,175309.0
42,0.0,2.0,PH,1 Tomato,Uniform,175309.0
43,215.0,2.0,PH,1 Tomato,Uniform,175309.0
44,0.0,2.0,PH,1 Tomato,Uniform,175309.0
45,14679.0,2.0,PH,1 Tomato,Uniform,175309.0
46,326.0,2.0,PH,1 Tomato,Uniform,175309.0
47,52592.0,2.0,PH,1 Tomato,Uniform,175309.0
48,0.0,2.0,PH,1 Tomato,Uniform,175309.0
49,340.0,2.0,PH,1 Tomato,Uniform,175309.0
0,0.0,3.0,PH,1 Tomato,Uniform,175309.0
1,0.0,3.0,PH,1 Tomato,Uniform,175309.0
2,14.0,3.0,PH,1 Tomato,Uniform,175309.0
3,0.0,3.0,PH,1 Tomato,Uniform,175309.0
4,246.0,3.0,PH,1 Tomato,Uniform,175309.0
5,0.0,3.0,PH,1 Tomato,Uniform,175309.0
6,104852.0,3.0,PH,1 Tomato,Uniform,175309.0
7,905.0,3.0,PH,1 Tomato,Uniform,175309.0
8,182.0,3.0,PH,1 Tomato,Uniform,175309.0
9,17758.0,3.0,PH,1 Tomato,Uniform,175309.0
10,105349.0,3.0,PH,1 Tomato,Uniform,175309.0
11,13797.0,3.0,PH,1 Tomato,Uniform,175309.0
12,22466.0,3.0,PH,1 Tomato,Uniform,175309.0
13,315.0,3.0,PH,1 Tomato,Uniform,175309.0
14,12.0,3.0,PH,1 Tomato,Uniform,175309.0
15,90.0,3.0,PH,1 Tomato,Uniform,175309.0
16,1914.0,3.0,PH,1 Tomato,Uniform,175309.0
17,48833.0,3.0,PH,1 Tomato,Uniform,175309.0
18,58.0,3.0,PH,1 Tomato,Uniform,175309.0
19,7.0,3.0,PH,1 Tomato,Uniform,175309.0
20,0.0,3.0,PH,1 Tomato,Uniform,175309.0
21,47.0,3.0,PH,1 Tomato,Uniform,175309.0
22,24.0,3.0,PH,1 Tomato,Uniform,175309.0
23,0.0,3.0,PH,1 Tomato,Uniform,175309.0
24,2398.0,3.0,PH,1 Tomato,Uniform,175309.0
25,0.0,3.0,PH,1 Tomato,Uniform,175309.0
26,66.0,3.0,PH,1 Tomato,Uniform,175309.0
27,0.0,3.0,PH,1 Tomato,Uniform,175309.0
28,0.0,3.0,PH,1 Tomato,Uniform,175309.0
29,81308.0,3.0,PH,1 Tomato,Uniform,175309.0
30,63149.0,3.0,PH,1 Tomato,Uniform,175309.0
