,Total CFU,HI,Type,ContType,Mass
0,147.0,0.0,Baseline,Uniform,Baseline
1,21.0,0.0,Baseline,Uniform,Baseline
2,157.0,0.0,Baseline,Uniform,Baseline
3,294.0,0.0,Baseline,Uniform,Baseline
4,615.0,0.0,Baseline,Uniform,Baseline
5,81.0,0.0,Baseline,Uniform,Baseline
6,726.0,0.0,Baseline,Uniform,Baseline
7,366.0,0.0,Baseline,Uniform,Baseline
8,20.0,0.0,Baseline,Uniform,Baseline
9,156.0,0.0,Baseline,Uniform,Baseline
10,842.0,0.0,Baseline,Uniform,Baseline
11,14.0,0.0,Baseline,Uniform,Baseline
12,9.0,0.0,Baseline,Uniform,Baseline
13,72.0,0.0,Baseline,Uniform,Baseline
14,490.0,0.0,Baseline,Uniform,Baseline
15,1725.0,0.0,Baseline,Uniform,Baseline
16,81.0,0.0,Baseline,Uniform,Baseline
17,171.0,0.0,Baseline,Uniform,Baseline
18,733.0,0.0,Baseline,Uniform,Baseline
19,122.0,0.0,Baseline,Uniform,Baseline
20,982.0,0.0,Baseline,Uniform,Baseline
21,2316.0,0.0,Baseline,Uniform,Baseline
22,309.0,0.0,Baseline,Uniform,Baseline
23,219.0,0.0,Baseline,Uniform,Baseline
24,240.0,0.0,Baseline,Uniform,Baseline
25,63.0,0.0,Baseline,Uniform,Baseline
26,231.0,0.0,Baseline,Uniform,Baseline
27,9.0,0.0,Baseline,Uniform,Baseline
28,398.0,0.0,Baseline,Uniform,Baseline
29,232.0,0.0,Baseline,Uniform,Baseline
30,578.0,0.0,Baseline,Uniform,Baseline
31,95.0,0.0,Baseline,Uniform,Baseline
32,164.0,0.0,Baseline,Uniform,Baseline
33,598.0,0.0,Baseline,Uniform,Baseline
34,482.0,0.0,Baseline,Uniform,Baseline
35,1151.0,0.0,Baseline,Uniform,Baseline
36,970.0,0.0,Baseline,Uniform,Baseline
37,804.0,0.0,Baseline,Uniform,Baseline
38,283.0,0.0,Baseline,Uniform,Baseline
39,330.0,0.0,Baseline,Uniform,Baseline
40,1122.0,0.0,Baseline,Uniform,Baseline
41,62.0,0.0,Baseline,Uniform,Baseline
42,425.0,0.0,Baseline,Uniform,Baseline
43,44.0,0.0,Baseline,Uniform,Baseline
44,254.0,0.0,Baseline,Uniform,Baseline
45,254.0,0.0,Baseline,Uniform,Baseline
46,2103.0,0.0,Baseline,Uniform,Baseline
47,132.0,0.0,Baseline,Uniform,Baseline
48,83.0,0.0,Baseline,Uniform,Baseline
49,83.0,0.0,Baseline,Uniform,Baseline
0,942.0,1.0,Baseline,Uniform,Baseline
1,2343.0,1.0,Baseline,Uniform,Baseline
2,315.0,1.0,Baseline,Uniform,Baseline
3,275.0,1.0,Baseline,Uniform,Baseline
4,202.0,1.0,Baseline,Uniform,Baseline
5,69.0,1.0,Baseline,Uniform,Baseline
6,265.0,1.0,Baseline,Uniform,Baseline
7,16.0,1.0,Baseline,Uniform,Baseline
8,420.0,1.0,Baseline,Uniform,Baseline
9,213.0,1.0,Baseline,Uniform,Baseline
10,563.0,1.0,Baseline,Uniform,Baseline
11,106.0,1.0,Baseline,Uniform,Baseline
12,157.0,1.0,Baseline,Uniform,Baseline
13,600.0,1.0,Baseline,Uniform,Baseline
14,499.0,1.0,Baseline,Uniform,Baseline
15,1165.0,1.0,Baseline,Uniform,Baseline
16,929.0,1.0,Baseline,Uniform,Baseline
17,859.0,1.0,Baseline,Uniform,Baseline
18,269.0,1.0,Baseline,Uniform,Baseline
19,315.0,1.0,Baseline,Uniform,Baseline
20,1083.0,1.0,Baseline,Uniform,Baseline
21,39.0,1.0,Baseline,Uniform,Baseline
22,424.0,1.0,Baseline,Uniform,Baseline
23,50.0,1.0,Baseline,Uniform,Baseline
24,226.0,1.0,Baseline,Uniform,Baseline
25,265.0,1.0,Baseline,Uniform,Baseline
26,2030.0,1.0,Baseline,Uniform,Baseline
27,99.0,1.0,Baseline,Uniform,Baseline
28,81.0,1.0,Baseline,Uniform,Baseline
29,69.0,1.0,Baseline,Uniform,Baseline
30,58.0,1.0,Baseline,Uniform,Baseline
31,1642.0,1.0,Baseline,Uniform,Baseline
32,107.0,1.0,Baseline,Uniform,Baseline
33,75.0,1.0,Baseline,Uniform,Baseline
34,1812.0,1.0,Baseline,Uniform,Baseline
35,2372.0,1.0,Baseline,Uniform,Baseline
36,103.0,1.0,Baseline,Uniform,Baseline
37,338.0,1.0,Baseline,Uniform,Baseline
38,375.0,1.0,Baseline,Uniform,Baseline
39,1046.0,1.0,Baseline,Uniform,Baseline
40,267.0,1.0,Baseline,Uniform,Baseline
41,125.0,1.0,Baseline,Uniform,Baseline
42,41.0,1.0,Baseline,Uniform,Baseline
43,692.0,1.0,Baseline,Uniform,Baseline
44,103.0,1.0,Baseline,Uniform,Baseline
45,708.0,1.0,Baseline,Uniform,Baseline
46,21.0,1.0,Baseline,Uniform,Baseline
47,102.0,1.0,Baseline,Uniform,Baseline
48,303.0,1.0,Baseline,Uniform,Baseline
49,74.0,1.0,Baseline,Uniform,Baseline
0,1120.0,2.0,Baseline,Uniform,Baseline
1,39.0,2.0,Baseline,Uniform,Baseline
2,457.0,2.0,Baseline,Uniform,Baseline
3,53.0,2.0,Baseline,Uniform,Baseline
4,263.0,2.0,Baseline,Uniform,Baseline
5,260.0,2.0,Baseline,Uniform,Baseline
6,1991.0,2.0,Baseline,Uniform,Baseline
7,123.0,2.0,Baseline,Uniform,Baseline
8,75.0,2.0,Baseline,Uniform,Baseline
9,64.0,2.0,Baseline,Uniform,Baseline
10,79.0,2.0,Baseline,Uniform,Baseline
11,1694.0,2.0,Baseline,Uniform,Baseline
12,106.0,2.0,Baseline,Uniform,Baseline
13,93.0,2.0,Baseline,Uniform,Baseline
14,1758.0,2.0,Baseline,Uniform,Baseline
15,2422.0,2.0,Baseline,Uniform,Baseline
16,87.0,2.0,Baseline,Uniform,Baseline
17,330.0,2.0,Baseline,Uniform,Baseline
18,400.0,2.0,Baseline,Uniform,Baseline
19,1088.0,2.0,Baseline,Uniform,Baseline
20,261.0,2.0,Baseline,Uniform,Baseline
21,119.0,2.0,Baseline,Uniform,Baseline
22,36.0,2.0,Baseline,Uniform,Baseline
23,661.0,2.0,Baseline,Uniform,Baseline
24,120.0,2.0,Baseline,Uniform,Baseline
25,729.0,2.0,Baseline,Uniform,Baseline
26,24.0,2.0,Baseline,Uniform,Baseline
27,110.0,2.0,Baseline,Uniform,Baseline
28,321.0,2.0,Baseline,Uniform,Baseline
29,52.0,2.0,Baseline,Uniform,Baseline
30,65.0,2.0,Baseline,Uniform,Baseline
31,931.0,2.0,Baseline,Uniform,Baseline
32,831.0,2.0,Baseline,Uniform,Baseline
