,Total_CFU,Type,Mass,Cont
0,464979.0,Baseline,Baseline,100%
0,385442.0,Preharvest,2 Tomatoes,100%
0,325112.0,Preharvest,6 Tomatoes,100%
0,270183.0,Preharvest,20 Tomatoes,100%
0,252142.0,Preharvest,60 Tomatoes,100%
0,379076.0,Preharvest,20 Tomato Mash,100%
0,298712.0,Preharvest,60 Tomato Mash,100%
0,309750.0,Harvest,2 Tomatoes,100%
0,329689.0,Harvest,6 Tomatoes,100%
0,45577.0,Harvest,20 Tomatoes,100%
0,9387.0,Harvest,60 Tomatoes,100%
0,261391.0,Harvest,20 Tomato Mash,100%
0,115995.0,Harvest,60 Tomato Mash,100%
0,317971.0,Receiving,2 Tomatoes,100%
0,176440.0,Receiving,6 Tomatoes,100%
0,49246.0,Receiving,20 Tomatoes,100%
0,12974.0,Receiving,60 Tomatoes,100%
0,260528.0,Receiving,20 Tomato Mash,100%
0,130643.0,Receiving,60 Tomato Mash,100%
0,320982.0,Packed Product,2 Tomatoes,100%
0,160754.0,Packed Product,6 Tomatoes,100%
0,334154.0,Packed Product,20 Tomatoes,100%
0,184651.0,Packed Product,60 Tomatoes,100%
0,432470.0,Packed Product,20 Tomato Mash,100%
0,364594.0,Packed Product,60 Tomato Mash,100%
0,420759.0,Baseline,Baseline,10%
0,407945.0,Preharvest,2 Tomatoes,10%
0,339112.0,Preharvest,6 Tomatoes,10%
0,261096.0,Preharvest,20 Tomatoes,10%
0,224378.0,Preharvest,60 Tomatoes,10%
0,339276.0,Preharvest,20 Tomato Mash,10%
0,273684.0,Preharvest,60 Tomato Mash,10%
0,365139.0,Harvest,2 Tomatoes,10%
0,259552.0,Harvest,6 Tomatoes,10%
0,92445.0,Harvest,20 Tomatoes,10%
0,11499.0,Harvest,60 Tomatoes,10%
0,261563.0,Harvest,20 Tomato Mash,10%
0,125875.0,Harvest,60 Tomato Mash,10%
0,366409.0,Receiving,2 Tomatoes,10%
0,263681.0,Receiving,6 Tomatoes,10%
0,105331.0,Receiving,20 Tomatoes,10%
0,14602.0,Receiving,60 Tomatoes,10%
0,267560.0,Receiving,20 Tomato Mash,10%
0,127760.0,Receiving,60 Tomato Mash,10%
0,403765.0,Packed Product,2 Tomatoes,10%
0,336546.0,Packed Product,6 Tomatoes,10%
0,302038.0,Packed Product,20 Tomatoes,10%
0,177690.0,Packed Product,60 Tomatoes,10%
0,399742.0,Packed Product,20 Tomato Mash,10%
0,345157.0,Packed Product,60 Tomato Mash,10%
0,457392.0,Baseline,Baseline,1%
0,456617.0,Preharvest,2 Tomatoes,1%
0,437625.0,Preharvest,6 Tomatoes,1%
0,423531.0,Preharvest,20 Tomatoes,1%
0,361348.0,Preharvest,60 Tomatoes,1%
0,423952.0,Preharvest,20 Tomato Mash,1%
0,373736.0,Preharvest,60 Tomato Mash,1%
0,447947.0,Harvest,2 Tomatoes,1%
0,416975.0,Harvest,6 Tomatoes,1%
0,421446.0,Harvest,20 Tomatoes,1%
0,234407.0,Harvest,60 Tomatoes,1%
0,399457.0,Harvest,20 Tomato Mash,1%
0,276133.0,Harvest,60 Tomato Mash,1%
0,448326.0,Receiving,2 Tomatoes,1%
0,417982.0,Receiving,6 Tomatoes,1%
0,381311.0,Receiving,20 Tomatoes,1%
0,233644.0,Receiving,60 Tomatoes,1%
0,399833.0,Receiving,20 Tomato Mash,1%
0,277286.0,Receiving,60 Tomato Mash,1%
0,447642.0,Packed Product,2 Tomatoes,1%
0,425785.0,Packed Product,6 Tomatoes,1%
0,403427.0,Packed Product,20 Tomatoes,1%
0,288834.0,Packed Product,60 Tomatoes,1%
0,436790.0,Packed Product,20 Tomato Mash,1%
0,387858.0,Packed Product,60 Tomato Mash,1%
0,462428.0,Baseline,Baseline,0.1%
0,464846.0,Preharvest,2 Tomatoes,0.1%
0,464188.0,Preharvest,6 Tomatoes,0.1%
0,459628.0,Preharvest,20 Tomatoes,0.1%
0,449330.0,Preharvest,60 Tomatoes,0.1%
0,459389.0,Preharvest,20 Tomato Mash,0.1%
0,450911.0,Preharvest,60 Tomato Mash,0.1%
0,464754.0,Harvest,2 Tomatoes,0.1%
0,461830.0,Harvest,6 Tomatoes,0.1%
0,461473.0,Harvest,20 Tomatoes,0.1%
0,432318.0,Harvest,60 Tomatoes,0.1%
0,457536.0,Harvest,20 Tomato Mash,0.1%
0,438769.0,Harvest,60 Tomato Mash,0.1%
0,464881.0,Receiving,2 Tomatoes,0.1%
0,461539.0,Receiving,6 Tomatoes,0.1%
0,460498.0,Receiving,20 Tomatoes,0.1%
0,449177.0,Receiving,60 Tomatoes,0.1%
0,459236.0,Receiving,20 Tomato Mash,0.1%
0,439685.0,Receiving,60 Tomato Mash,0.1%
0,463834.0,Packed Product,2 Tomatoes,0.1%
0,457537.0,Packed Product,6 Tomatoes,0.1%
0,443263.0,Packed Product,20 Tomatoes,0.1%
0,409886.0,Packed Product,60 Tomatoes,0.1%
0,455581.0,Packed Product,20 Tomato Mash,0.1%
0,440236.0,Packed Product,60 Tomato Mash,0.1%
