,Total CFU,HI,Type,ContType,Mass
0,148.0,0.0,Baseline,Point Source,Baseline
1,17.0,0.0,Baseline,Point Source,Baseline
2,153.0,0.0,Baseline,Point Source,Baseline
3,300.0,0.0,Baseline,Point Source,Baseline
4,634.0,0.0,Baseline,Point Source,Baseline
5,52.0,0.0,Baseline,Point Source,Baseline
6,761.0,0.0,Baseline,Point Source,Baseline
7,380.0,0.0,Baseline,Point Source,Baseline
8,36.0,0.0,Baseline,Point Source,Baseline
9,141.0,0.0,Baseline,Point Source,Baseline
10,847.0,0.0,Baseline,Point Source,Baseline
11,10.0,0.0,Baseline,Point Source,Baseline
12,13.0,0.0,Baseline,Point Source,Baseline
13,55.0,0.0,Baseline,Point Source,Baseline
14,558.0,0.0,Baseline,Point Source,Baseline
15,1751.0,0.0,Baseline,Point Source,Baseline
16,103.0,0.0,Baseline,Point Source,Baseline
17,142.0,0.0,Baseline,Point Source,Baseline
18,831.0,0.0,Baseline,Point Source,Baseline
19,137.0,0.0,Baseline,Point Source,Baseline
20,1011.0,0.0,Baseline,Point Source,Baseline
21,2409.0,0.0,Baseline,Point Source,Baseline
22,341.0,0.0,Baseline,Point Source,Baseline
23,219.0,0.0,Baseline,Point Source,Baseline
24,184.0,0.0,Baseline,Point Source,Baseline
25,58.0,0.0,Baseline,Point Source,Baseline
26,256.0,0.0,Baseline,Point Source,Baseline
27,17.0,0.0,Baseline,Point Source,Baseline
28,398.0,0.0,Baseline,Point Source,Baseline
29,235.0,0.0,Baseline,Point Source,Baseline
30,531.0,0.0,Baseline,Point Source,Baseline
31,90.0,0.0,Baseline,Point Source,Baseline
32,176.0,0.0,Baseline,Point Source,Baseline
33,550.0,0.0,Baseline,Point Source,Baseline
34,468.0,0.0,Baseline,Point Source,Baseline
35,1121.0,0.0,Baseline,Point Source,Baseline
36,1000.0,0.0,Baseline,Point Source,Baseline
37,930.0,0.0,Baseline,Point Source,Baseline
38,299.0,0.0,Baseline,Point Source,Baseline
39,309.0,0.0,Baseline,Point Source,Baseline
40,1160.0,0.0,Baseline,Point Source,Baseline
41,52.0,0.0,Baseline,Point Source,Baseline
42,361.0,0.0,Baseline,Point Source,Baseline
43,42.0,0.0,Baseline,Point Source,Baseline
44,212.0,0.0,Baseline,Point Source,Baseline
45,294.0,0.0,Baseline,Point Source,Baseline
46,1897.0,0.0,Baseline,Point Source,Baseline
47,131.0,0.0,Baseline,Point Source,Baseline
48,89.0,0.0,Baseline,Point Source,Baseline
49,62.0,0.0,Baseline,Point Source,Baseline
0,1028.0,1.0,Baseline,Point Source,Baseline
1,2482.0,1.0,Baseline,Point Source,Baseline
2,334.0,1.0,Baseline,Point Source,Baseline
3,220.0,1.0,Baseline,Point Source,Baseline
4,205.0,1.0,Baseline,Point Source,Baseline
5,55.0,1.0,Baseline,Point Source,Baseline
6,263.0,1.0,Baseline,Point Source,Baseline
7,23.0,1.0,Baseline,Point Source,Baseline
8,373.0,1.0,Baseline,Point Source,Baseline
9,217.0,1.0,Baseline,Point Source,Baseline
10,502.0,1.0,Baseline,Point Source,Baseline
11,91.0,1.0,Baseline,Point Source,Baseline
12,177.0,1.0,Baseline,Point Source,Baseline
13,492.0,1.0,Baseline,Point Source,Baseline
14,471.0,1.0,Baseline,Point Source,Baseline
15,1195.0,1.0,Baseline,Point Source,Baseline
16,1002.0,1.0,Baseline,Point Source,Baseline
17,867.0,1.0,Baseline,Point Source,Baseline
18,279.0,1.0,Baseline,Point Source,Baseline
19,323.0,1.0,Baseline,Point Source,Baseline
20,1077.0,1.0,Baseline,Point Source,Baseline
21,47.0,1.0,Baseline,Point Source,Baseline
22,360.0,1.0,Baseline,Point Source,Baseline
23,43.0,1.0,Baseline,Point Source,Baseline
24,218.0,1.0,Baseline,Point Source,Baseline
25,297.0,1.0,Baseline,Point Source,Baseline
26,1865.0,1.0,Baseline,Point Source,Baseline
27,112.0,1.0,Baseline,Point Source,Baseline
28,70.0,1.0,Baseline,Point Source,Baseline
29,64.0,1.0,Baseline,Point Source,Baseline
30,83.0,1.0,Baseline,Point Source,Baseline
31,1869.0,1.0,Baseline,Point Source,Baseline
32,141.0,1.0,Baseline,Point Source,Baseline
33,82.0,1.0,Baseline,Point Source,Baseline
34,1908.0,1.0,Baseline,Point Source,Baseline
35,2122.0,1.0,Baseline,Point Source,Baseline
36,80.0,1.0,Baseline,Point Source,Baseline
37,292.0,1.0,Baseline,Point Source,Baseline
38,356.0,1.0,Baseline,Point Source,Baseline
39,1094.0,1.0,Baseline,Point Source,Baseline
40,239.0,1.0,Baseline,Point Source,Baseline
41,111.0,1.0,Baseline,Point Source,Baseline
42,37.0,1.0,Baseline,Point Source,Baseline
43,763.0,1.0,Baseline,Point Source,Baseline
44,130.0,1.0,Baseline,Point Source,Baseline
45,774.0,1.0,Baseline,Point Source,Baseline
46,27.0,1.0,Baseline,Point Source,Baseline
47,108.0,1.0,Baseline,Point Source,Baseline
48,400.0,1.0,Baseline,Point Source,Baseline
49,47.0,1.0,Baseline,Point Source,Baseline
0,1122.0,2.0,Baseline,Point Source,Baseline
1,57.0,2.0,Baseline,Point Source,Baseline
2,400.0,2.0,Baseline,Point Source,Baseline
3,39.0,2.0,Baseline,Point Source,Baseline
4,244.0,2.0,Baseline,Point Source,Baseline
5,321.0,2.0,Baseline,Point Source,Baseline
6,1887.0,2.0,Baseline,Point Source,Baseline
7,106.0,2.0,Baseline,Point Source,Baseline
8,91.0,2.0,Baseline,Point Source,Baseline
9,83.0,2.0,Baseline,Point Source,Baseline
10,72.0,2.0,Baseline,Point Source,Baseline
11,1862.0,2.0,Baseline,Point Source,Baseline
12,121.0,2.0,Baseline,Point Source,Baseline
13,90.0,2.0,Baseline,Point Source,Baseline
14,1887.0,2.0,Baseline,Point Source,Baseline
15,2163.0,2.0,Baseline,Point Source,Baseline
16,107.0,2.0,Baseline,Point Source,Baseline
17,365.0,2.0,Baseline,Point Source,Baseline
18,356.0,2.0,Baseline,Point Source,Baseline
19,1186.0,2.0,Baseline,Point Source,Baseline
20,245.0,2.0,Baseline,Point Source,Baseline
21,143.0,2.0,Baseline,Point Source,Baseline
22,45.0,2.0,Baseline,Point Source,Baseline
23,688.0,2.0,Baseline,Point Source,Baseline
24,124.0,2.0,Baseline,Point Source,Baseline
25,742.0,2.0,Baseline,Point Source,Baseline
26,25.0,2.0,Baseline,Point Source,Baseline
27,116.0,2.0,Baseline,Point Source,Baseline
28,364.0,2.0,Baseline,Point Source,Baseline
29,64.0,2.0,Baseline,Point Source,Baseline
30,68.0,2.0,Baseline,Point Source,Baseline
31,949.0,2.0,Baseline,Point Source,Baseline
32,1073.0,2.0,Baseline,Point Source,Baseline
33,116.0,2.0,Baseline,Point Source,Baseline
34,74.0,2.0,Baseline,Point Source,Baseline
35,1717.0,2.0,Baseline,Point Source,Baseline
36,125.0,2.0,Baseline,Point Source,Baseline
37,83.0,2.0,Baseline,Point Source,Baseline
38,225.0,2.0,Baseline,Point Source,Baseline
39,2069.0,2.0,Baseline,Point Source,Baseline
40,84.0,2.0,Baseline,Point Source,Baseline
41,234.0,2.0,Baseline,Point Source,Baseline
42,15.0,2.0,Baseline,Point Source,Baseline
43,495.0,2.0,Baseline,Point Source,Baseline
44,69.0,2.0,Baseline,Point Source,Baseline
45,63.0,2.0,Baseline,Point Source,Baseline
46,102.0,2.0,Baseline,Point Source,Baseline
47,79.0,2.0,Baseline,Point Source,Baseline
48,116.0,2.0,Baseline,Point Source,Baseline
49,234.0,2.0,Baseline,Point Source,Baseline
0,207.0,3.0,Baseline,Point Source,Baseline
1,119.0,3.0,Baseline,Point Source,Baseline
2,45.0,3.0,Baseline,Point Source,Baseline
3,749.0,3.0,Baseline,Point Source,Baseline
4,137.0,3.0,Baseline,Point Source,Baseline
5,761.0,3.0,Baseline,Point Source,Baseline
6,29.0,3.0,Baseline,Point Source,Baseline
7,127.0,3.0,Baseline,Point Source,Baseline
8,381.0,3.0,Baseline,Point Source,Baseline
9,45.0,3.0,Baseline,Point Source,Baseline
10,80.0,3.0,Baseline,Point Source,Baseline
11,908.0,3.0,Baseline,Point Source,Baseline
12,1069.0,3.0,Baseline,Point Source,Baseline
13,120.0,3.0,Baseline,Point Source,Baseline
14,82.0,3.0,Baseline,Point Source,Baseline
15,1751.0,3.0,Baseline,Point Source,Baseline
16,118.0,3.0,Baseline,Point Source,Baseline
17,83.0,3.0,Baseline,Point Source,Baseline
18,235.0,3.0,Baseline,Point Source,Baseline
19,2001.0,3.0,Baseline,Point Source,Baseline
20,79.0,3.0,Baseline,Point Source,Baseline
21,196.0,3.0,Baseline,Point Source,Baseline
22,14.0,3.0,Baseline,Point Source,Baseline
23,442.0,3.0,Baseline,Point Source,Baseline
24,66.0,3.0,Baseline,Point Source,Baseline
25,65.0,3.0,Baseline,Point Source,Baseline
26,100.0,3.0,Baseline,Point Source,Baseline
27,96.0,3.0,Baseline,Point Source,Baseline
28,96.0,3.0,Baseline,Point Source,Baseline
29,248.0,3.0,Baseline,Point Source,Baseline
30,468.0,3.0,Baseline,Point Source,Baseline
31,125.0,3.0,Baseline,Point Source,Baseline
32,83.0,3.0,Baseline,Point Source,Baseline
33,262.0,3.0,Baseline,Point Source,Baseline
34,288.0,3.0,Baseline,Point Source,Baseline
35,1562.0,3.0,Baseline,Point Source,Baseline
36,291.0,3.0,Baseline,Point Source,Baseline
37,1433.0,3.0,Baseline,Point Source,Baseline
38,972.0,3.0,Baseline,Point Source,Baseline
39,85.0,3.0,Baseline,Point Source,Baseline
40,296.0,3.0,Baseline,Point Source,Baseline
41,118.0,3.0,Baseline,Point Source,Baseline
42,827.0,3.0,Baseline,Point Source,Baseline
43,524.0,3.0,Baseline,Point Source,Baseline
44,286.0,3.0,Baseline,Point Source,Baseline
45,99.0,3.0,Baseline,Point Source,Baseline
46,399.0,3.0,Baseline,Point Source,Baseline
47,678.0,3.0,Baseline,Point Source,Baseline
48,94.0,3.0,Baseline,Point Source,Baseline
49,463.0,3.0,Baseline,Point Source,Baseline
0,88.0,4.0,Baseline,Point Source,Baseline
1,237.0,4.0,Baseline,Point Source,Baseline
2,13.0,4.0,Baseline,Point Source,Baseline
3,456.0,4.0,Baseline,Point Source,Baseline
4,64.0,4.0,Baseline,Point Source,Baseline
5,72.0,4.0,Baseline,Point Source,Baseline
6,117.0,4.0,Baseline,Point Source,Baseline
7,80.0,4.0,Baseline,Point Source,Baseline
8,122.0,4.0,Baseline,Point Source,Baseline
9,274.0,4.0,Baseline,Point Source,Baseline
10,479.0,4.0,Baseline,Point Source,Baseline
11,116.0,4.0,Baseline,Point Source,Baseline
12,69.0,4.0,Baseline,Point Source,Baseline
13,266.0,4.0,Baseline,Point Source,Baseline
14,278.0,4.0,Baseline,Point Source,Baseline
15,1650.0,4.0,Baseline,Point Source,Baseline
16,262.0,4.0,Baseline,Point Source,Baseline
17,1378.0,4.0,Baseline,Point Source,Baseline
18,1041.0,4.0,Baseline,Point Source,Baseline
19,93.0,4.0,Baseline,Point Source,Baseline
20,282.0,4.0,Baseline,Point Source,Baseline
21,106.0,4.0,Baseline,Point Source,Baseline
22,851.0,4.0,Baseline,Point Source,Baseline
23,537.0,4.0,Baseline,Point Source,Baseline
24,341.0,4.0,Baseline,Point Source,Baseline
25,97.0,4.0,Baseline,Point Source,Baseline
26,379.0,4.0,Baseline,Point Source,Baseline
27,668.0,4.0,Baseline,Point Source,Baseline
28,102.0,4.0,Baseline,Point Source,Baseline
29,488.0,4.0,Baseline,Point Source,Baseline
30,172.0,4.0,Baseline,Point Source,Baseline
31,341.0,4.0,Baseline,Point Source,Baseline
32,1006.0,4.0,Baseline,Point Source,Baseline
33,36.0,4.0,Baseline,Point Source,Baseline
34,281.0,4.0,Baseline,Point Source,Baseline
35,83.0,4.0,Baseline,Point Source,Baseline
36,1528.0,4.0,Baseline,Point Source,Baseline
37,245.0,4.0,Baseline,Point Source,Baseline
38,29.0,4.0,Baseline,Point Source,Baseline
39,437.0,4.0,Baseline,Point Source,Baseline
40,199.0,4.0,Baseline,Point Source,Baseline
41,1322.0,4.0,Baseline,Point Source,Baseline
42,69.0,4.0,Baseline,Point Source,Baseline
43,70.0,4.0,Baseline,Point Source,Baseline
44,308.0,4.0,Baseline,Point Source,Baseline
45,98.0,4.0,Baseline,Point Source,Baseline
46,162.0,4.0,Baseline,Point Source,Baseline
47,1205.0,4.0,Baseline,Point Source,Baseline
48,124.0,4.0,Baseline,Point Source,Baseline
49,190.0,4.0,Baseline,Point Source,Baseline
0,277.0,5.0,Baseline,Point Source,Baseline
1,107.0,5.0,Baseline,Point Source,Baseline
2,855.0,5.0,Baseline,Point Source,Baseline
3,521.0,5.0,Baseline,Point Source,Baseline
4,302.0,5.0,Baseline,Point Source,Baseline
5,93.0,5.0,Baseline,Point Source,Baseline
6,403.0,5.0,Baseline,Point Source,Baseline
7,747.0,5.0,Baseline,Point Source,Baseline
8,123.0,5.0,Baseline,Point Source,Baseline
9,452.0,5.0,Baseline,Point Source,Baseline
10,179.0,5.0,Baseline,Point Source,Baseline
11,330.0,5.0,Baseline,Point Source,Baseline
12,952.0,5.0,Baseline,Point Source,Baseline
13,24.0,5.0,Baseline,Point Source,Baseline
14,308.0,5.0,Baseline,Point Source,Baseline
15,62.0,5.0,Baseline,Point Source,Baseline
16,1415.0,5.0,Baseline,Point Source,Baseline
17,276.0,5.0,Baseline,Point Source,Baseline
18,30.0,5.0,Baseline,Point Source,Baseline
19,403.0,5.0,Baseline,Point Source,Baseline
20,204.0,5.0,Baseline,Point Source,Baseline
21,1265.0,5.0,Baseline,Point Source,Baseline
22,85.0,5.0,Baseline,Point Source,Baseline
23,79.0,5.0,Baseline,Point Source,Baseline
24,327.0,5.0,Baseline,Point Source,Baseline
25,93.0,5.0,Baseline,Point Source,Baseline
26,153.0,5.0,Baseline,Point Source,Baseline
27,1195.0,5.0,Baseline,Point Source,Baseline
28,129.0,5.0,Baseline,Point Source,Baseline
29,177.0,5.0,Baseline,Point Source,Baseline
30,813.0,5.0,Baseline,Point Source,Baseline
31,244.0,5.0,Baseline,Point Source,Baseline
32,65.0,5.0,Baseline,Point Source,Baseline
33,470.0,5.0,Baseline,Point Source,Baseline
34,380.0,5.0,Baseline,Point Source,Baseline
35,74.0,5.0,Baseline,Point Source,Baseline
36,374.0,5.0,Baseline,Point Source,Baseline
37,185.0,5.0,Baseline,Point Source,Baseline
38,29.0,5.0,Baseline,Point Source,Baseline
39,615.0,5.0,Baseline,Point Source,Baseline
40,728.0,5.0,Baseline,Point Source,Baseline
41,1123.0,5.0,Baseline,Point Source,Baseline
42,235.0,5.0,Baseline,Point Source,Baseline
43,478.0,5.0,Baseline,Point Source,Baseline
44,244.0,5.0,Baseline,Point Source,Baseline
45,563.0,5.0,Baseline,Point Source,Baseline
46,51.0,5.0,Baseline,Point Source,Baseline
47,89.0,5.0,Baseline,Point Source,Baseline
48,464.0,5.0,Baseline,Point Source,Baseline
49,410.0,5.0,Baseline,Point Source,Baseline
0,176.0,6.0,Baseline,Point Source,Baseline
1,1272.0,6.0,Baseline,Point Source,Baseline
2,72.0,6.0,Baseline,Point Source,Baseline
3,73.0,6.0,Baseline,Point Source,Baseline
4,291.0,6.0,Baseline,Point Source,Baseline
5,96.0,6.0,Baseline,Point Source,Baseline
6,170.0,6.0,Baseline,Point Source,Baseline
7,1236.0,6.0,Baseline,Point Source,Baseline
8,124.0,6.0,Baseline,Point Source,Baseline
9,173.0,6.0,Baseline,Point Source,Baseline
