,Total_CFU,Type,Mass,Cont
0,935526.0,Baseline,Baseline,100%
0,807588.0,Preharvest,2 Tomatoes,100%
0,671543.0,Preharvest,6 Tomatoes,100%
0,559427.0,Preharvest,20 Tomatoes,100%
0,523675.0,Preharvest,60 Tomatoes,100%
0,758094.0,Preharvest,20 Tomato Mash,100%
0,621010.0,Preharvest,60 Tomato Mash,100%
0,609169.0,Harvest,2 Tomatoes,100%
0,661695.0,Harvest,6 Tomatoes,100%
0,92860.0,Harvest,20 Tomatoes,100%
0,20227.0,Harvest,60 Tomatoes,100%
0,499422.0,Harvest,20 Tomato Mash,100%
0,231961.0,Harvest,60 Tomato Mash,100%
0,679581.0,Receiving,2 Tomatoes,100%
0,320142.0,Receiving,6 Tomatoes,100%
0,94670.0,Receiving,20 Tomatoes,100%
0,17520.0,Receiving,60 Tomatoes,100%
0,501292.0,Receiving,20 Tomato Mash,100%
0,248505.0,Receiving,60 Tomato Mash,100%
0,885617.0,Packed Product,2 Tomatoes,100%
0,820489.0,Packed Product,6 Tomatoes,100%
0,639610.0,Packed Product,20 Tomatoes,100%
0,375995.0,Packed Product,60 Tomatoes,100%
0,879968.0,Packed Product,20 Tomato Mash,100%
0,372721.0,Packed Product,60 Tomato Mash,100%
0,862573.0,Baseline,Baseline,10%
0,761971.0,Preharvest,2 Tomatoes,10%
0,729905.0,Preharvest,6 Tomatoes,10%
0,564258.0,Preharvest,20 Tomatoes,10%
0,470673.0,Preharvest,60 Tomatoes,10%
0,709115.0,Preharvest,20 Tomato Mash,10%
0,563621.0,Preharvest,60 Tomato Mash,10%
0,731915.0,Harvest,2 Tomatoes,10%
0,554502.0,Harvest,6 Tomatoes,10%
0,201783.0,Harvest,20 Tomatoes,10%
0,29748.0,Harvest,60 Tomatoes,10%
0,483550.0,Harvest,20 Tomato Mash,10%
0,237762.0,Harvest,60 Tomato Mash,10%
0,726759.0,Receiving,2 Tomatoes,10%
0,563183.0,Receiving,6 Tomatoes,10%
0,207858.0,Receiving,20 Tomatoes,10%
0,31306.0,Receiving,60 Tomatoes,10%
0,498276.0,Receiving,20 Tomato Mash,10%
0,255502.0,Receiving,60 Tomato Mash,10%
0,826120.0,Packed Product,2 Tomatoes,10%
0,779920.0,Packed Product,6 Tomatoes,10%
0,657738.0,Packed Product,20 Tomatoes,10%
0,381621.0,Packed Product,60 Tomatoes,10%
0,807708.0,Packed Product,20 Tomato Mash,10%
0,702991.0,Packed Product,60 Tomato Mash,10%
0,929335.0,Baseline,Baseline,1%
0,912404.0,Preharvest,2 Tomatoes,1%
0,903714.0,Preharvest,6 Tomatoes,1%
0,843923.0,Preharvest,20 Tomatoes,1%
0,744297.0,Preharvest,60 Tomatoes,1%
0,856359.0,Preharvest,20 Tomato Mash,1%
0,759687.0,Preharvest,60 Tomato Mash,1%
0,907423.0,Harvest,2 Tomatoes,1%
0,877083.0,Harvest,6 Tomatoes,1%
0,843200.0,Harvest,20 Tomatoes,1%
0,524781.0,Harvest,60 Tomatoes,1%
0,786246.0,Harvest,20 Tomato Mash,1%
0,558317.0,Harvest,60 Tomato Mash,1%
0,909987.0,Receiving,2 Tomatoes,1%
0,880202.0,Receiving,6 Tomatoes,1%
0,752600.0,Receiving,20 Tomatoes,1%
0,524217.0,Receiving,60 Tomatoes,1%
0,790674.0,Receiving,20 Tomato Mash,1%
0,560627.0,Receiving,60 Tomato Mash,1%
0,918963.0,Packed Product,2 Tomatoes,1%
0,888484.0,Packed Product,6 Tomatoes,1%
0,796349.0,Packed Product,20 Tomatoes,1%
0,597239.0,Packed Product,60 Tomatoes,1%
0,876034.0,Packed Product,20 Tomato Mash,1%
0,800428.0,Packed Product,60 Tomato Mash,1%
0,936006.0,Baseline,Baseline,0.1%
0,937735.0,Preharvest,2 Tomatoes,0.1%
0,936721.0,Preharvest,6 Tomatoes,0.1%
0,920928.0,Preharvest,20 Tomatoes,0.1%
0,908216.0,Preharvest,60 Tomatoes,0.1%
0,924475.0,Preharvest,20 Tomato Mash,0.1%
0,908069.0,Preharvest,60 Tomato Mash,0.1%
0,938721.0,Harvest,2 Tomatoes,0.1%
0,935490.0,Harvest,6 Tomatoes,0.1%
0,913334.0,Harvest,20 Tomatoes,0.1%
0,872480.0,Harvest,60 Tomatoes,0.1%
0,904872.0,Harvest,20 Tomato Mash,0.1%
0,864510.0,Harvest,60 Tomato Mash,0.1%
0,939318.0,Receiving,2 Tomatoes,0.1%
0,933953.0,Receiving,6 Tomatoes,0.1%
0,911610.0,Receiving,20 Tomatoes,0.1%
0,871110.0,Receiving,60 Tomatoes,0.1%
0,905876.0,Receiving,20 Tomato Mash,0.1%
0,864540.0,Receiving,60 Tomato Mash,0.1%
0,937531.0,Packed Product,2 Tomatoes,0.1%
0,933711.0,Packed Product,6 Tomatoes,0.1%
0,893897.0,Packed Product,20 Tomatoes,0.1%
0,820628.0,Packed Product,60 Tomatoes,0.1%
0,907227.0,Packed Product,20 Tomato Mash,0.1%
0,872683.0,Packed Product,60 Tomato Mash,0.1%
