,CFU_Bef_Pick1PHS,0,1,CFU_Bef_Pick2PHS,2,3,CFU_Bef_Pick3PHS,4,5,Total CFU,6
0,10253.0,0.0,No,310.0,0.0,No,128.0,0.0,No,123.0,1
1,10389.0,0.0,No,248.0,0.0,No,71.0,0.0,No,68.0,1
2,10400.0,0.0,No,258.0,0.0,No,70.0,0.0,No,69.0,1
3,10262.0,0.0,No,420.0,0.0,No,209.0,0.0,No,207.0,1
4,10180.0,0.0,No,220.0,0.0,No,43.0,0.0,No,39.0,1
5,10170.0,0.0,No,260.0,0.0,No,79.0,0.0,No,78.0,1
6,10199.0,0.0,No,262.0,0.0,No,82.0,0.0,No,77.0,1
7,10256.0,0.0,No,210.0,0.0,No,30.0,0.0,No,28.0,1
8,10155.0,0.0,No,191.0,0.0,No,18.0,0.0,No,17.0,1
9,10169.0,0.0,No,253.0,0.0,No,80.0,0.0,No,78.0,1
10,10184.0,0.0,No,274.0,0.0,No,94.0,0.0,No,94.0,1
11,10036.0,0.0,No,253.0,0.0,No,92.0,0.0,No,88.0,1
12,0.0,0.0,Yes,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
13,10222.0,0.0,No,293.0,0.0,No,99.0,0.0,No,99.0,1
14,10218.0,0.0,No,225.0,0.0,No,25.0,0.0,No,21.0,1
15,9997.0,0.0,No,230.0,0.0,No,40.0,0.0,No,38.0,1
16,10094.0,0.0,No,237.0,0.0,No,31.0,0.0,No,28.0,1
17,10083.0,0.0,No,212.0,0.0,No,17.0,0.0,No,17.0,1
18,10133.0,0.0,No,263.0,0.0,No,80.0,0.0,No,78.0,1
19,10280.0,0.0,No,275.0,0.0,No,87.0,0.0,No,87.0,1
20,10074.0,0.0,No,271.0,0.0,No,116.0,0.0,No,113.0,1
21,10148.0,0.0,No,245.0,0.0,No,23.0,0.0,No,20.0,1
22,10395.0,0.0,No,225.0,0.0,No,73.0,0.0,No,70.0,1
23,10205.0,0.0,No,276.0,0.0,No,77.0,0.0,No,74.0,1
24,10225.0,0.0,No,213.0,0.0,No,21.0,0.0,No,18.0,1
25,10296.0,0.0,No,246.0,0.0,No,56.0,0.0,No,51.0,1
26,1.0,0.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
27,10160.0,0.0,No,224.0,0.0,No,34.0,0.0,No,32.0,1
28,10440.0,0.0,No,270.0,0.0,No,74.0,0.0,No,69.0,1
29,10386.0,0.0,No,283.0,0.0,No,86.0,0.0,No,83.0,1
30,9826.0,0.0,No,418.0,0.0,No,232.0,0.0,No,230.0,1
31,10461.0,0.0,No,244.0,0.0,No,57.0,0.0,No,54.0,1
32,10182.0,0.0,No,202.0,0.0,No,25.0,0.0,No,23.0,1
33,10306.0,0.0,No,184.0,0.0,No,15.0,0.0,No,12.0,1
34,10167.0,0.0,No,213.0,0.0,No,22.0,0.0,No,20.0,1
35,10244.0,0.0,No,311.0,0.0,No,138.0,0.0,No,132.0,1
36,10142.0,0.0,No,201.0,0.0,No,39.0,0.0,No,37.0,1
37,10261.0,0.0,No,224.0,0.0,No,28.0,0.0,No,26.0,1
38,10309.0,0.0,No,207.0,0.0,No,37.0,0.0,No,32.0,1
39,10371.0,0.0,No,254.0,0.0,No,41.0,0.0,No,36.0,1
40,10153.0,0.0,No,211.0,0.0,No,30.0,0.0,No,29.0,1
41,10314.0,0.0,No,213.0,0.0,No,40.0,0.0,No,36.0,1
42,10217.0,0.0,No,307.0,0.0,No,118.0,0.0,No,114.0,1
43,10164.0,0.0,No,195.0,0.0,No,19.0,0.0,No,16.0,1
44,10287.0,0.0,No,249.0,0.0,No,56.0,0.0,No,53.0,1
45,10339.0,0.0,No,283.0,0.0,No,93.0,0.0,No,89.0,1
46,10227.0,0.0,No,220.0,0.0,No,45.0,0.0,No,39.0,1
