,CFU_Bef_Pick1PHS,0,1,CFU_Bef_Pick2PHS,2,3,CFU_Bef_Pick3PHS,4,5,Total CFU,6
0,10031.0,0.0,No,302.0,0.0,No,118.0,0.0,No,116.0,1
1,10274.0,0.0,No,233.0,0.0,No,59.0,0.0,No,57.0,1
2,10279.0,0.0,No,300.0,0.0,No,108.0,0.0,No,106.0,1
3,10142.0,0.0,No,346.0,0.0,No,177.0,0.0,No,176.0,1
4,10336.0,0.0,No,229.0,0.0,No,39.0,0.0,No,39.0,1
5,10320.0,0.0,No,260.0,0.0,No,70.0,0.0,No,66.0,1
6,10278.0,0.0,No,255.0,0.0,No,73.0,0.0,No,72.0,1
7,10313.0,0.0,No,209.0,0.0,No,27.0,0.0,No,23.0,1
8,10116.0,0.0,No,198.0,0.0,No,21.0,0.0,No,17.0,1
9,10073.0,10073.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
10,10354.0,10354.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
11,10062.0,0.0,No,249.0,0.0,No,72.0,0.0,No,68.0,1
12,10288.0,0.0,No,235.0,0.0,No,45.0,0.0,No,43.0,1
13,10180.0,0.0,No,320.0,0.0,No,116.0,0.0,No,112.0,1
14,10218.0,0.0,No,218.0,0.0,No,22.0,0.0,No,20.0,1
15,10312.0,0.0,No,223.0,0.0,No,44.0,0.0,No,43.0,1
16,10402.0,0.0,No,250.0,0.0,No,32.0,0.0,No,26.0,1
17,10078.0,0.0,No,200.0,0.0,No,19.0,0.0,No,17.0,1
18,10047.0,0.0,No,254.0,0.0,No,65.0,0.0,No,63.0,1
19,10330.0,0.0,No,295.0,0.0,No,92.0,0.0,No,91.0,1
20,10065.0,0.0,No,276.0,0.0,No,94.0,0.0,No,90.0,1
21,10252.0,0.0,No,214.0,0.0,No,24.0,0.0,No,21.0,1
22,10241.0,0.0,No,273.0,0.0,No,81.0,0.0,No,77.0,1
23,10183.0,0.0,No,257.0,0.0,No,74.0,0.0,No,73.0,1
24,10261.0,0.0,No,205.0,0.0,No,16.0,0.0,No,11.0,1
25,10461.0,10461.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
26,10327.0,0.0,No,223.0,0.0,No,51.0,0.0,No,47.0,1
27,10277.0,10277.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
28,10190.0,0.0,No,241.0,0.0,No,63.0,0.0,No,61.0,1
29,10449.0,0.0,No,256.0,0.0,No,84.0,0.0,No,77.0,1
30,10252.0,0.0,No,407.0,0.0,No,225.0,0.0,No,220.0,1
31,10252.0,0.0,No,233.0,0.0,No,61.0,0.0,No,59.0,1
32,10241.0,10241.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
33,10272.0,10272.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
34,10132.0,0.0,No,213.0,0.0,No,20.0,0.0,No,19.0,1
35,10212.0,0.0,No,324.0,0.0,No,141.0,0.0,No,136.0,1
36,10281.0,0.0,No,214.0,0.0,No,24.0,0.0,No,22.0,1
37,10386.0,0.0,No,204.0,0.0,No,23.0,0.0,No,20.0,1
38,10153.0,0.0,No,222.0,0.0,No,48.0,0.0,No,46.0,1
39,10344.0,0.0,No,250.0,0.0,No,54.0,0.0,No,50.0,1
40,10216.0,0.0,No,218.0,0.0,No,20.0,0.0,No,20.0,1
41,10090.0,10090.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
42,10253.0,0.0,No,311.0,0.0,No,127.0,0.0,No,127.0,1
43,10273.0,0.0,No,215.0,0.0,No,18.0,0.0,No,16.0,1
44,10226.0,0.0,No,253.0,0.0,No,54.0,0.0,No,51.0,1
45,10247.0,10247.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
46,10149.0,0.0,No,225.0,0.0,No,32.0,0.0,No,30.0,1
47,10257.0,0.0,No,229.0,0.0,No,74.0,0.0,No,70.0,1
48,10407.0,0.0,No,205.0,0.0,No,41.0,0.0,No,39.0,1
49,10279.0,0.0,No,215.0,0.0,No,40.0,0.0,No,39.0,1
50,10179.0,10179.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
51,10273.0,0.0,No,302.0,0.0,No,93.0,0.0,No,92.0,1
52,10291.0,0.0,No,219.0,0.0,No,28.0,0.0,No,27.0,1
53,10224.0,0.0,No,256.0,0.0,No,66.0,0.0,No,64.0,1
54,10030.0,0.0,No,192.0,0.0,No,29.0,0.0,No,25.0,1
55,10341.0,10341.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
56,10152.0,0.0,No,225.0,0.0,No,55.0,0.0,No,52.0,1
57,10214.0,0.0,No,213.0,0.0,No,29.0,0.0,No,22.0,1
58,10223.0,10223.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
59,10106.0,0.0,No,237.0,0.0,No,64.0,0.0,No,59.0,1
60,10140.0,0.0,No,238.0,0.0,No,49.0,0.0,No,48.0,1
61,10316.0,10316.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
62,10348.0,0.0,No,354.0,0.0,No,179.0,0.0,No,176.0,1
63,10122.0,0.0,No,249.0,0.0,No,65.0,0.0,No,59.0,1
64,10262.0,0.0,No,248.0,0.0,No,48.0,0.0,No,45.0,1
65,10257.0,0.0,No,262.0,0.0,No,76.0,0.0,No,70.0,1
66,10172.0,0.0,No,206.0,0.0,No,21.0,0.0,No,15.0,1
67,10220.0,0.0,No,219.0,0.0,No,25.0,0.0,No,21.0,1
68,10183.0,0.0,No,202.0,0.0,No,20.0,0.0,No,20.0,1
69,10232.0,10232.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
70,10266.0,0.0,No,205.0,0.0,No,12.0,0.0,No,10.0,1
71,10298.0,0.0,No,214.0,0.0,No,26.0,0.0,No,23.0,1
72,10193.0,0.0,No,175.0,0.0,No,18.0,0.0,No,16.0,1
73,10112.0,0.0,No,389.0,0.0,No,214.0,0.0,No,211.0,1
74,10289.0,0.0,No,195.0,0.0,No,20.0,0.0,No,19.0,1
75,10242.0,0.0,No,220.0,0.0,No,30.0,0.0,No,29.0,1
76,10233.0,0.0,No,251.0,0.0,No,46.0,0.0,No,44.0,1
77,10221.0,0.0,No,228.0,0.0,No,48.0,0.0,No,47.0,1
78,10095.0,0.0,No,219.0,0.0,No,38.0,0.0,No,35.0,1
79,10359.0,10359.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
80,10284.0,0.0,No,195.0,0.0,No,31.0,0.0,No,27.0,1
81,10146.0,0.0,No,235.0,0.0,No,47.0,0.0,No,45.0,1
82,10138.0,0.0,No,200.0,0.0,No,14.0,0.0,No,12.0,1
83,10211.0,0.0,No,301.0,0.0,No,104.0,0.0,No,103.0,1
84,10368.0,0.0,No,205.0,0.0,No,22.0,0.0,No,19.0,1
85,10271.0,0.0,No,216.0,0.0,No,22.0,0.0,No,21.0,1
86,10146.0,0.0,No,216.0,0.0,No,42.0,0.0,No,38.0,1
87,10403.0,0.0,No,203.0,0.0,No,17.0,0.0,No,12.0,1
88,10168.0,0.0,No,206.0,0.0,No,18.0,0.0,No,15.0,1
89,10106.0,0.0,No,321.0,0.0,No,162.0,0.0,No,160.0,1
90,10206.0,0.0,No,250.0,0.0,No,44.0,0.0,No,39.0,1
91,10254.0,10254.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
92,10091.0,10091.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
93,10309.0,10309.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
94,10206.0,10206.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
95,10205.0,0.0,No,339.0,0.0,No,135.0,0.0,No,129.0,1
96,10129.0,0.0,No,239.0,0.0,No,40.0,0.0,No,34.0,1
97,10284.0,0.0,No,205.0,0.0,No,24.0,0.0,No,23.0,1
98,10243.0,0.0,No,282.0,0.0,No,90.0,0.0,No,88.0,1
99,10092.0,0.0,No,198.0,0.0,No,14.0,0.0,No,12.0,1
0,13244.0,13244.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
1,13203.0,0.0,No,319.0,0.0,No,66.0,0.0,No,60.0,2
2,13021.0,0.0,No,342.0,0.0,No,105.0,0.0,No,104.0,2
3,12969.0,0.0,No,461.0,0.0,No,242.0,0.0,No,239.0,2
4,13176.0,0.0,No,265.0,0.0,No,66.0,0.0,No,64.0,2
5,13371.0,0.0,No,311.0,0.0,No,101.0,0.0,No,98.0,2
6,13249.0,0.0,No,354.0,0.0,No,101.0,0.0,No,97.0,2
7,13140.0,13140.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
8,13069.0,0.0,No,262.0,0.0,No,29.0,0.0,No,22.0,2
9,13355.0,13355.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
10,13124.0,0.0,No,368.0,0.0,No,136.0,0.0,No,134.0,2
11,13351.0,13351.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
12,13178.0,0.0,No,322.0,0.0,No,66.0,0.0,No,61.0,2
13,13259.0,0.0,No,394.0,0.0,No,152.0,0.0,No,147.0,2
14,13141.0,13141.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
15,13234.0,13234.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
16,13448.0,0.0,No,276.0,0.0,No,38.0,0.0,No,36.0,2
17,13196.0,0.0,No,266.0,0.0,No,35.0,0.0,No,32.0,2
18,13257.0,13257.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
19,13050.0,0.0,No,352.0,239.0,No,113.0,0.0,No,113.0,2
20,13325.0,13325.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
21,12871.0,12871.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
22,13323.0,0.0,No,348.0,0.0,No,94.0,0.0,No,89.0,2
23,13242.0,0.0,No,345.0,0.0,No,98.0,0.0,No,95.0,2
24,13219.0,0.0,No,233.0,0.0,No,30.0,0.0,No,28.0,2
25,13254.0,0.0,No,280.0,0.0,No,51.0,0.0,No,47.0,2
26,13120.0,13120.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
27,13237.0,13237.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
28,13226.0,0.0,No,329.0,0.0,No,90.0,0.0,No,87.0,2
29,13273.0,13273.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
