,CFU_Bef_Pick1PHS,0,1,CFU_Bef_Pick2PHS,2,3,CFU_Bef_Pick3PHS,4,5,Total CFU,6
0,4743.0,0.0,No,168.0,0.0,No,101.0,0.0,No,101.0,1
1,4663.0,0.0,No,141.0,0.0,No,51.0,0.0,No,50.0,1
2,4598.0,4598.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
3,4822.0,0.0,No,277.0,0.0,No,193.0,0.0,No,190.0,1
4,4814.0,0.0,No,125.0,0.0,No,40.0,0.0,No,39.0,1
5,4762.0,4762.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
6,4787.0,0.0,No,189.0,0.0,No,85.0,0.0,No,85.0,1
7,4719.0,0.0,No,93.0,0.0,No,20.0,0.0,No,17.0,1
8,4838.0,0.0,No,106.0,0.0,No,21.0,0.0,No,20.0,1
9,4790.0,0.0,No,157.0,0.0,No,64.0,0.0,No,64.0,1
10,4814.0,0.0,No,172.0,0.0,No,99.0,0.0,No,97.0,1
11,4745.0,0.0,No,163.0,0.0,No,76.0,0.0,No,73.0,1
12,4716.0,0.0,No,135.0,0.0,No,45.0,0.0,No,44.0,1
13,4710.0,0.0,No,201.0,0.0,No,107.0,0.0,No,107.0,1
14,4736.0,0.0,No,124.0,0.0,No,27.0,0.0,No,26.0,1
15,4744.0,0.0,No,127.0,0.0,No,47.0,0.0,No,44.0,1
16,4667.0,0.0,No,114.0,0.0,No,34.0,0.0,No,32.0,1
17,4799.0,0.0,No,88.0,0.0,No,12.0,0.0,No,11.0,1
18,4893.0,0.0,No,158.0,0.0,No,81.0,0.0,No,80.0,1
19,4702.0,0.0,No,173.0,0.0,No,91.0,0.0,No,89.0,1
20,4756.0,0.0,No,184.0,0.0,No,100.0,0.0,No,99.0,1
21,4753.0,0.0,No,104.0,0.0,No,26.0,0.0,No,26.0,1
22,4749.0,4749.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
23,4832.0,0.0,No,146.0,0.0,No,59.0,0.0,No,58.0,1
24,4718.0,0.0,No,117.0,0.0,No,24.0,0.0,No,23.0,1
25,4714.0,0.0,No,140.0,0.0,No,37.0,0.0,No,36.0,1
26,4737.0,0.0,No,132.0,0.0,No,44.0,0.0,No,43.0,1
27,4862.0,4862.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
28,4709.0,0.0,No,139.0,0.0,No,53.0,0.0,No,51.0,1
29,4789.0,0.0,No,145.0,0.0,No,66.0,0.0,No,65.0,1
30,4710.0,0.0,No,317.0,0.0,No,230.0,0.0,No,228.0,1
31,4748.0,0.0,No,120.0,0.0,No,40.0,0.0,No,39.0,1
32,4759.0,0.0,No,97.0,0.0,No,18.0,0.0,No,16.0,1
33,4706.0,0.0,No,101.0,0.0,No,8.0,0.0,No,7.0,1
34,4833.0,0.0,No,103.0,0.0,No,22.0,0.0,No,22.0,1
35,4773.0,0.0,No,232.0,0.0,No,150.0,0.0,No,147.0,1
36,4689.0,0.0,No,120.0,0.0,No,32.0,0.0,No,31.0,1
37,4646.0,0.0,No,113.0,0.0,No,24.0,0.0,No,22.0,1
38,4772.0,4772.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
39,4814.0,0.0,No,115.0,0.0,No,47.0,0.0,No,46.0,1
40,4631.0,0.0,No,109.0,0.0,No,24.0,0.0,No,21.0,1
41,4773.0,0.0,No,126.0,0.0,No,36.0,0.0,No,35.0,1
42,4767.0,0.0,No,202.0,0.0,No,126.0,0.0,No,122.0,1
43,4755.0,0.0,No,113.0,0.0,No,30.0,0.0,No,28.0,1
44,4796.0,0.0,No,156.0,0.0,No,61.0,0.0,No,60.0,1
45,4723.0,4723.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
46,4748.0,0.0,No,121.0,0.0,No,43.0,0.0,No,41.0,1
47,4688.0,0.0,No,142.0,0.0,No,62.0,0.0,No,62.0,1
48,4796.0,0.0,No,136.0,0.0,No,40.0,0.0,No,39.0,1
49,4826.0,0.0,No,128.0,0.0,No,43.0,0.0,No,41.0,1
50,4877.0,0.0,No,237.0,0.0,No,137.0,0.0,No,135.0,1
51,4794.0,0.0,No,134.0,0.0,No,64.0,0.0,No,63.0,1
