,Cont,Pick,Type,Mass,Cont Type,HI
0,0.0,1.0,PH,1 Tomato,Uniform,153778.0
1,0.0,1.0,PH,1 Tomato,Uniform,153778.0
2,0.0,1.0,PH,1 Tomato,Uniform,153778.0
3,0.0,1.0,PH,1 Tomato,Uniform,153778.0
4,0.0,1.0,PH,1 Tomato,Uniform,153778.0
5,0.0,1.0,PH,1 Tomato,Uniform,153778.0
6,30762.0,1.0,PH,1 Tomato,Uniform,153778.0
7,0.0,1.0,PH,1 Tomato,Uniform,153778.0
8,0.0,1.0,PH,1 Tomato,Uniform,153778.0
9,6710.0,1.0,PH,1 Tomato,Uniform,153778.0
10,0.0,1.0,PH,1 Tomato,Uniform,153778.0
11,30857.0,1.0,PH,1 Tomato,Uniform,153778.0
12,39364.0,1.0,PH,1 Tomato,Uniform,153778.0
13,0.0,1.0,PH,1 Tomato,Uniform,153778.0
14,0.0,1.0,PH,1 Tomato,Uniform,153778.0
15,0.0,1.0,PH,1 Tomato,Uniform,153778.0
16,23777.0,1.0,PH,1 Tomato,Uniform,153778.0
17,0.0,1.0,PH,1 Tomato,Uniform,153778.0
18,0.0,1.0,PH,1 Tomato,Uniform,153778.0
19,0.0,1.0,PH,1 Tomato,Uniform,153778.0
20,0.0,1.0,PH,1 Tomato,Uniform,153778.0
21,0.0,1.0,PH,1 Tomato,Uniform,153778.0
22,0.0,1.0,PH,1 Tomato,Uniform,153778.0
23,5232.0,1.0,PH,1 Tomato,Uniform,153778.0
24,10774.0,1.0,PH,1 Tomato,Uniform,153778.0
25,0.0,1.0,PH,1 Tomato,Uniform,153778.0
26,0.0,1.0,PH,1 Tomato,Uniform,153778.0
27,0.0,1.0,PH,1 Tomato,Uniform,153778.0
28,0.0,1.0,PH,1 Tomato,Uniform,153778.0
29,0.0,1.0,PH,1 Tomato,Uniform,153778.0
30,0.0,1.0,PH,1 Tomato,Uniform,153778.0
31,0.0,1.0,PH,1 Tomato,Uniform,153778.0
32,0.0,1.0,PH,1 Tomato,Uniform,153778.0
33,0.0,1.0,PH,1 Tomato,Uniform,153778.0
34,30913.0,1.0,PH,1 Tomato,Uniform,153778.0
35,18451.0,1.0,PH,1 Tomato,Uniform,153778.0
