,Total_CFU,Type,Mass,Cont
0,464979.0,Baseline,Baseline,100%
0,385442.0,Preharvest,2 Tomatoes,100%
0,325112.0,Preharvest,6 Tomatoes,100%
0,270183.0,Preharvest,20 Tomatoes,100%
0,252142.0,Preharvest,60 Tomatoes,100%
0,379076.0,Preharvest,20 Tomato Mash,100%
0,298712.0,Preharvest,60 Tomato Mash,100%
0,389831.0,Harvest,2 Tomatoes,100%
0,327499.0,Harvest,6 Tomatoes,100%
0,269327.0,Harvest,20 Tomatoes,100%
0,252636.0,Harvest,60 Tomatoes,100%
0,376907.0,Harvest,20 Tomato Mash,100%
0,298759.0,Harvest,60 Tomato Mash,100%
0,392520.0,Harvest,2 Tomatoes,100%
0,325197.0,Receiving,6 Tomatoes,100%
0,269286.0,Receiving,20 Tomatoes,100%
0,251965.0,Receiving,60 Tomatoes,100%
0,377932.0,Receiving,20 Tomato Mash,100%
0,299545.0,Receiving,60 Tomato Mash,100%
0,391932.0,Receiving,2 Tomatoes,100%
0,324712.0,Packed Product,6 Tomatoes,100%
0,270820.0,Packed Product,20 Tomatoes,100%
0,252436.0,Packed Product,60 Tomatoes,100%
0,377784.0,Packed Product,20 Tomato Mash,100%
0,299347.0,Packed Product,60 Tomato Mash,100%
0,420759.0,Baseline,Baseline,10%
0,407945.0,Preharvest,2 Tomatoes,10%
0,339112.0,Preharvest,6 Tomatoes,10%
0,261096.0,Preharvest,20 Tomatoes,10%
0,224378.0,Preharvest,60 Tomatoes,10%
0,339276.0,Preharvest,20 Tomato Mash,10%
0,273684.0,Preharvest,60 Tomato Mash,10%
0,411674.0,Harvest,2 Tomatoes,10%
0,334754.0,Harvest,6 Tomatoes,10%
0,263992.0,Harvest,20 Tomatoes,10%
0,226862.0,Harvest,60 Tomatoes,10%
0,340160.0,Harvest,20 Tomato Mash,10%
0,278098.0,Harvest,60 Tomato Mash,10%
0,407079.0,Harvest,2 Tomatoes,10%
0,337160.0,Receiving,6 Tomatoes,10%
0,265259.0,Receiving,20 Tomatoes,10%
0,226423.0,Receiving,60 Tomatoes,10%
0,341975.0,Receiving,20 Tomato Mash,10%
0,272775.0,Receiving,60 Tomato Mash,10%
0,411458.0,Receiving,2 Tomatoes,10%
0,341261.0,Packed Product,6 Tomatoes,10%
0,264304.0,Packed Product,20 Tomatoes,10%
0,227318.0,Packed Product,60 Tomatoes,10%
0,344816.0,Packed Product,20 Tomato Mash,10%
0,275973.0,Packed Product,60 Tomato Mash,10%
0,457392.0,Baseline,Baseline,1%
0,456617.0,Preharvest,2 Tomatoes,1%
0,437625.0,Preharvest,6 Tomatoes,1%
0,423531.0,Preharvest,20 Tomatoes,1%
0,361348.0,Preharvest,60 Tomatoes,1%
0,423952.0,Preharvest,20 Tomato Mash,1%
0,373736.0,Preharvest,60 Tomato Mash,1%
0,456578.0,Harvest,2 Tomatoes,1%
0,436434.0,Harvest,6 Tomatoes,1%
0,423684.0,Harvest,20 Tomatoes,1%
0,360637.0,Harvest,60 Tomatoes,1%
0,423749.0,Harvest,20 Tomato Mash,1%
0,374690.0,Harvest,60 Tomato Mash,1%
0,457202.0,Harvest,2 Tomatoes,1%
0,436596.0,Receiving,6 Tomatoes,1%
0,422304.0,Receiving,20 Tomatoes,1%
0,360012.0,Receiving,60 Tomatoes,1%
0,425087.0,Receiving,20 Tomato Mash,1%
0,372853.0,Receiving,60 Tomato Mash,1%
0,457241.0,Receiving,2 Tomatoes,1%
0,436928.0,Packed Product,6 Tomatoes,1%
0,424158.0,Packed Product,20 Tomatoes,1%
0,360372.0,Packed Product,60 Tomatoes,1%
0,422490.0,Packed Product,20 Tomato Mash,1%
0,373552.0,Packed Product,60 Tomato Mash,1%
0,462428.0,Baseline,Baseline,0.1%
0,464846.0,Preharvest,2 Tomatoes,0.1%
0,464188.0,Preharvest,6 Tomatoes,0.1%
0,459628.0,Preharvest,20 Tomatoes,0.1%
0,449330.0,Preharvest,60 Tomatoes,0.1%
0,459389.0,Preharvest,20 Tomato Mash,0.1%
0,450911.0,Preharvest,60 Tomato Mash,0.1%
0,464233.0,Harvest,2 Tomatoes,0.1%
0,462223.0,Harvest,6 Tomatoes,0.1%
0,458607.0,Harvest,20 Tomatoes,0.1%
0,448331.0,Harvest,60 Tomatoes,0.1%
0,461247.0,Harvest,20 Tomato Mash,0.1%
0,452264.0,Harvest,60 Tomato Mash,0.1%
0,464881.0,Harvest,2 Tomatoes,0.1%
0,461539.0,Receiving,6 Tomatoes,0.1%
0,460498.0,Receiving,20 Tomatoes,0.1%
0,449177.0,Receiving,60 Tomatoes,0.1%
0,459506.0,Receiving,20 Tomato Mash,0.1%
0,451488.0,Receiving,60 Tomato Mash,0.1%
0,463973.0,Receiving,2 Tomatoes,0.1%
0,464390.0,Packed Product,6 Tomatoes,0.1%
0,460305.0,Packed Product,20 Tomatoes,0.1%
0,449895.0,Packed Product,60 Tomatoes,0.1%
0,459688.0,Packed Product,20 Tomato Mash,0.1%
0,452565.0,Packed Product,60 Tomato Mash,0.1%
