,CFU_Bef_Pick1PHS,0,1,CFU_Bef_Pick2PHS,2,3,CFU_Bef_Pick3PHS,4,5,Total CFU,6
0,10104.0,10104.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
1,10247.0,10247.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
2,10167.0,0.0,No,268.0,0.0,No,94.0,0.0,No,89.0,1
3,10259.0,0.0,No,362.0,0.0,No,169.0,0.0,No,165.0,1
4,10317.0,0.0,No,230.0,0.0,No,44.0,0.0,No,39.0,1
5,10204.0,0.0,No,268.0,0.0,No,81.0,0.0,No,78.0,1
6,10110.0,10110.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
7,10496.0,0.0,No,241.0,0.0,No,24.0,0.0,No,19.0,1
8,10120.0,10120.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
9,10238.0,0.0,No,283.0,0.0,No,76.0,0.0,No,73.0,1
10,10105.0,0.0,No,267.0,0.0,No,95.0,0.0,No,92.0,1
11,10197.0,10197.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
12,10164.0,0.0,No,235.0,0.0,No,40.0,0.0,No,37.0,1
13,10248.0,0.0,No,319.0,0.0,No,124.0,0.0,No,120.0,1
14,10216.0,10216.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
15,10337.0,0.0,No,237.0,0.0,No,44.0,0.0,No,44.0,1
16,10220.0,0.0,No,225.0,0.0,No,35.0,0.0,No,33.0,1
17,10106.0,0.0,No,234.0,0.0,No,15.0,0.0,No,14.0,1
18,10236.0,10236.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
19,10186.0,10186.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
0,13240.0,13240.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
1,13114.0,0.0,No,333.0,0.0,No,96.0,0.0,No,92.0,2
2,13106.0,0.0,No,344.0,0.0,No,115.0,0.0,No,112.0,2
3,13175.0,13175.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
4,13182.0,0.0,No,289.0,0.0,No,50.0,0.0,No,47.0,2
5,13104.0,0.0,No,315.0,0.0,No,74.0,0.0,No,74.0,2
6,13071.0,13071.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
7,12966.0,0.0,No,293.0,0.0,No,39.0,0.0,No,36.0,2
8,13355.0,0.0,No,264.0,0.0,No,24.0,0.0,No,19.0,2
9,13204.0,0.0,No,324.0,0.0,No,83.0,0.0,No,80.0,2
10,13182.0,13182.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
11,13252.0,0.0,No,306.0,0.0,No,88.0,0.0,No,86.0,2
12,13170.0,0.0,No,339.0,0.0,No,72.0,0.0,No,69.0,2
13,13244.0,0.0,No,372.0,0.0,No,148.0,0.0,No,146.0,2
14,13176.0,13176.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
15,13207.0,0.0,No,315.0,0.0,No,62.0,0.0,No,59.0,2
16,13338.0,0.0,No,256.0,0.0,No,35.0,0.0,No,31.0,2
17,13297.0,0.0,No,245.0,0.0,No,21.0,0.0,No,17.0,2
18,13078.0,0.0,No,329.0,0.0,No,101.0,0.0,No,96.0,2
19,13272.0,13272.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
0,17039.0,0.0,No,465.0,0.0,No,166.0,0.0,No,159.0,3
1,16861.0,16861.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,3
2,17065.0,17065.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,3
3,17052.0,17052.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,3
4,17121.0,17121.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,3
5,17111.0,17111.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,3
6,16901.0,0.0,No,425.0,0.0,No,112.0,0.0,No,111.0,3
7,17092.0,0.0,No,351.0,0.0,No,43.0,0.0,No,38.0,3
8,17295.0,17295.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,3
9,16983.0,16983.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,3
10,16863.0,0.0,No,466.0,0.0,No,165.0,0.0,No,160.0,3
11,17023.0,0.0,No,422.0,0.0,No,127.0,0.0,No,120.0,3
12,16975.0,16975.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,3
13,16983.0,0.0,No,513.0,0.0,No,199.0,0.0,No,192.0,3
14,17071.0,0.0,No,363.0,0.0,No,35.0,0.0,No,29.0,3
15,17151.0,0.0,No,396.0,0.0,No,78.0,0.0,No,75.0,3
16,17049.0,17049.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,3
17,16988.0,0.0,No,357.0,338.0,No,19.0,0.0,No,19.0,3
18,17118.0,0.0,No,468.0,0.0,No,139.0,0.0,No,135.0,3
19,17079.0,0.0,No,449.0,0.0,No,149.0,0.0,No,144.0,3
0,22122.0,22122.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,4
1,22187.0,22187.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,4
2,22139.0,22139.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,4
