,CFU_Bef_Pick1PHS,0,1,CFU_Bef_Pick2PHS,2,3,CFU_Bef_Pick3PHS,4,5,Total CFU,6
0,10266.0,0.0,No,296.0,0.0,No,101.0,0.0,No,99.0,1
1,10265.0,0.0,No,262.0,0.0,No,71.0,0.0,No,70.0,1
2,10300.0,0.0,No,289.0,0.0,No,80.0,0.0,No,74.0,1
3,10206.0,0.0,No,379.0,0.0,No,200.0,0.0,No,197.0,1
4,10111.0,0.0,No,216.0,0.0,No,31.0,0.0,No,28.0,1
5,10239.0,0.0,No,258.0,0.0,No,68.0,0.0,No,68.0,1
6,10034.0,0.0,No,267.0,0.0,No,71.0,0.0,No,67.0,1
7,10155.0,0.0,No,190.0,0.0,No,24.0,0.0,No,20.0,1
8,10079.0,0.0,No,251.0,0.0,No,22.0,0.0,No,21.0,1
9,10048.0,0.0,No,243.0,0.0,No,57.0,0.0,No,55.0,1
10,10173.0,0.0,No,275.0,0.0,No,100.0,0.0,No,97.0,1
11,10209.0,0.0,No,266.0,0.0,No,70.0,0.0,No,65.0,1
12,9977.0,0.0,No,229.0,0.0,No,49.0,0.0,No,47.0,1
13,10325.0,0.0,No,290.0,0.0,No,113.0,0.0,No,111.0,1
14,10307.0,0.0,No,225.0,0.0,No,22.0,0.0,No,14.0,1
15,10357.0,0.0,No,239.0,0.0,No,69.0,0.0,No,65.0,1
16,10252.0,0.0,No,192.0,0.0,No,29.0,0.0,No,27.0,1
17,10171.0,0.0,No,196.0,0.0,No,13.0,0.0,No,9.0,1
18,10319.0,0.0,No,238.0,0.0,No,86.0,0.0,No,79.0,1
19,10258.0,0.0,No,280.0,0.0,No,86.0,0.0,No,84.0,1
20,10140.0,0.0,No,308.0,0.0,No,107.0,0.0,No,103.0,1
21,10221.0,0.0,No,200.0,0.0,No,25.0,0.0,No,19.0,1
22,10130.0,0.0,No,270.0,0.0,No,63.0,0.0,No,54.0,1
23,10316.0,0.0,No,255.0,0.0,No,72.0,0.0,No,68.0,1
24,10319.0,0.0,No,185.0,0.0,No,22.0,0.0,No,17.0,1
25,10258.0,0.0,No,248.0,0.0,No,42.0,0.0,No,38.0,1
26,10423.0,0.0,No,236.0,0.0,No,53.0,0.0,No,52.0,1
27,10045.0,0.0,No,230.0,0.0,No,42.0,0.0,No,40.0,1
28,10222.0,0.0,No,265.0,0.0,No,77.0,0.0,No,73.0,1
29,10205.0,0.0,No,230.0,0.0,No,95.0,0.0,No,94.0,1
30,10282.0,0.0,No,418.0,0.0,No,230.0,0.0,No,227.0,1
31,9966.0,0.0,No,255.0,0.0,No,59.0,0.0,No,58.0,1
