,CFU_Bef_Pick1PHS,0,1,CFU_Bef_Pick2PHS,2,3,CFU_Bef_Pick3PHS,4,5,Total CFU,6
0,10359.0,0.0,No,286.0,0.0,No,95.0,0.0,No,93.0,1
1,10080.0,0.0,No,250.0,0.0,No,71.0,0.0,No,69.0,1
2,10220.0,0.0,No,288.0,0.0,No,86.0,0.0,No,84.0,1
3,10157.0,0.0,No,357.0,0.0,No,186.0,0.0,No,185.0,1
4,10289.0,0.0,No,230.0,0.0,No,39.0,0.0,No,38.0,1
5,10321.0,0.0,No,278.0,0.0,No,72.0,0.0,No,69.0,1
6,10281.0,0.0,No,272.0,0.0,No,80.0,0.0,No,76.0,1
7,10285.0,0.0,No,227.0,0.0,No,30.0,0.0,No,25.0,1
8,10292.0,0.0,No,191.0,0.0,No,23.0,0.0,No,18.0,1
9,10278.0,0.0,No,246.0,0.0,No,76.0,0.0,No,73.0,1
10,10025.0,0.0,No,251.0,0.0,No,86.0,0.0,No,86.0,1
11,10155.0,0.0,No,261.0,0.0,No,68.0,0.0,No,66.0,1
12,10102.0,0.0,No,241.0,0.0,No,44.0,0.0,No,43.0,1
13,10141.0,0.0,No,273.0,0.0,No,113.0,0.0,No,111.0,1
14,10209.0,0.0,No,188.0,0.0,No,18.0,0.0,No,16.0,1
15,10126.0,0.0,No,260.0,0.0,No,60.0,0.0,No,55.0,1
16,10302.0,0.0,No,211.0,0.0,No,28.0,0.0,No,25.0,1
17,10353.0,0.0,No,199.0,0.0,No,20.0,0.0,No,18.0,1
18,10129.0,0.0,No,274.0,0.0,No,74.0,0.0,No,69.0,1
19,10166.0,0.0,No,268.0,0.0,No,86.0,0.0,No,83.0,1
20,10227.0,10227.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
21,10287.0,0.0,No,240.0,0.0,No,34.0,0.0,No,31.0,1
22,10193.0,0.0,No,269.0,0.0,No,65.0,0.0,No,62.0,1
23,10318.0,0.0,No,241.0,0.0,No,63.0,0.0,No,58.0,1
24,10196.0,0.0,No,217.0,0.0,No,23.0,0.0,No,20.0,1
25,10400.0,10400.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
26,10224.0,0.0,No,222.0,0.0,No,56.0,0.0,No,54.0,1
27,10342.0,10342.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
28,10131.0,0.0,No,266.0,0.0,No,75.0,0.0,No,69.0,1
29,10191.0,0.0,No,236.0,0.0,No,66.0,0.0,No,64.0,1
30,10266.0,0.0,No,420.0,0.0,No,239.0,0.0,No,231.0,1
31,10156.0,0.0,No,277.0,0.0,No,74.0,0.0,No,74.0,1
32,10121.0,0.0,No,220.0,0.0,No,20.0,0.0,No,17.0,1
33,10059.0,0.0,No,206.0,0.0,No,22.0,0.0,No,19.0,1
34,10166.0,0.0,No,211.0,0.0,No,31.0,0.0,No,28.0,1
35,10320.0,0.0,No,325.0,0.0,No,135.0,0.0,No,134.0,1
36,10274.0,0.0,No,234.0,0.0,No,32.0,0.0,No,31.0,1
37,10172.0,0.0,No,197.0,0.0,No,41.0,0.0,No,40.0,1
38,10211.0,0.0,No,253.0,0.0,No,43.0,0.0,No,38.0,1
39,10228.0,0.0,No,240.0,0.0,No,40.0,0.0,No,40.0,1
40,10162.0,0.0,No,225.0,0.0,No,29.0,0.0,No,29.0,1
41,10287.0,0.0,No,223.0,0.0,No,40.0,0.0,No,38.0,1
42,10197.0,0.0,No,319.0,0.0,No,129.0,0.0,No,128.0,1
43,10377.0,0.0,No,216.0,0.0,No,18.0,0.0,No,17.0,1
44,10152.0,0.0,No,263.0,0.0,No,62.0,0.0,No,59.0,1
45,10121.0,0.0,No,254.0,0.0,No,75.0,0.0,No,71.0,1
46,10155.0,0.0,No,221.0,0.0,No,35.0,0.0,No,32.0,1
47,10443.0,0.0,No,262.0,0.0,No,73.0,0.0,No,71.0,1
48,10337.0,0.0,No,229.0,0.0,No,54.0,0.0,No,50.0,1
49,10374.0,10374.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
50,10082.0,0.0,No,279.0,0.0,No,122.0,0.0,No,115.0,1
51,10298.0,0.0,No,262.0,0.0,No,83.0,0.0,No,82.0,1
52,10202.0,10202.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
53,10115.0,0.0,No,249.0,0.0,No,77.0,0.0,No,74.0,1
54,10402.0,0.0,No,226.0,0.0,No,30.0,0.0,No,25.0,1
55,10438.0,0.0,No,242.0,0.0,No,22.0,0.0,No,19.0,1
56,9970.0,0.0,No,222.0,0.0,No,48.0,0.0,No,46.0,1
57,10165.0,0.0,No,213.0,0.0,No,30.0,0.0,No,27.0,1
58,10351.0,0.0,No,222.0,0.0,No,34.0,0.0,No,30.0,1
59,10195.0,0.0,No,250.0,0.0,No,59.0,0.0,No,55.0,1
60,10256.0,0.0,No,217.0,0.0,No,43.0,0.0,No,43.0,1
61,10191.0,0.0,No,236.0,0.0,No,65.0,0.0,No,62.0,1
62,10332.0,0.0,No,345.0,0.0,No,177.0,0.0,No,176.0,1
63,10366.0,0.0,No,233.0,0.0,No,55.0,0.0,No,54.0,1
64,10178.0,0.0,No,227.0,0.0,No,47.0,0.0,No,44.0,1
65,10311.0,0.0,No,278.0,0.0,No,89.0,0.0,No,85.0,1
66,10404.0,0.0,No,205.0,0.0,No,26.0,0.0,No,23.0,1
67,10153.0,0.0,No,221.0,0.0,No,37.0,0.0,No,36.0,1
68,10291.0,0.0,No,222.0,0.0,No,32.0,0.0,No,28.0,1
69,10158.0,0.0,No,252.0,0.0,No,41.0,0.0,No,39.0,1
70,10138.0,0.0,No,202.0,0.0,No,9.0,0.0,No,9.0,1
71,10093.0,0.0,No,205.0,0.0,No,20.0,0.0,No,17.0,1
72,10185.0,0.0,No,190.0,0.0,No,18.0,0.0,No,15.0,1
73,10206.0,0.0,No,388.0,0.0,No,207.0,0.0,No,205.0,1
74,10293.0,0.0,No,211.0,0.0,No,25.0,0.0,No,22.0,1
75,10389.0,0.0,No,230.0,0.0,No,46.0,0.0,No,41.0,1
76,10194.0,0.0,No,249.0,0.0,No,61.0,0.0,No,57.0,1
77,10212.0,0.0,No,222.0,0.0,No,39.0,0.0,No,37.0,1
78,10062.0,0.0,No,216.0,0.0,No,34.0,0.0,No,31.0,1
79,10384.0,0.0,No,212.0,0.0,No,33.0,0.0,No,30.0,1
80,10105.0,0.0,No,202.0,0.0,No,27.0,0.0,No,22.0,1
81,10203.0,0.0,No,225.0,0.0,No,48.0,0.0,No,44.0,1
82,10198.0,0.0,No,209.0,0.0,No,13.0,0.0,No,8.0,1
83,10031.0,0.0,No,276.0,0.0,No,90.0,0.0,No,87.0,1
84,10187.0,0.0,No,227.0,0.0,No,19.0,0.0,No,16.0,1
85,10367.0,10367.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
86,10167.0,0.0,No,228.0,0.0,No,36.0,0.0,No,34.0,1
87,10226.0,0.0,No,205.0,0.0,No,23.0,0.0,No,19.0,1
88,10217.0,0.0,No,210.0,0.0,No,16.0,0.0,No,15.0,1
89,10053.0,0.0,No,328.0,0.0,No,153.0,0.0,No,151.0,1
90,10183.0,0.0,No,221.0,0.0,No,41.0,0.0,No,41.0,1
91,10365.0,0.0,No,215.0,0.0,No,16.0,0.0,No,15.0,1
92,10193.0,0.0,No,206.0,0.0,No,9.0,0.0,No,7.0,1
93,10182.0,0.0,No,244.0,0.0,No,55.0,0.0,No,54.0,1
94,10225.0,0.0,No,244.0,0.0,No,67.0,0.0,No,63.0,1
95,10361.0,0.0,No,328.0,0.0,No,116.0,0.0,No,113.0,1
96,10323.0,0.0,No,223.0,0.0,No,28.0,0.0,No,26.0,1
97,10268.0,0.0,No,207.0,0.0,No,29.0,0.0,No,26.0,1
98,10204.0,0.0,No,298.0,0.0,No,94.0,0.0,No,91.0,1
99,10130.0,0.0,No,182.0,0.0,No,11.0,0.0,No,8.0,1
0,13127.0,0.0,No,333.0,0.0,No,122.0,0.0,No,119.0,2
1,13074.0,0.0,No,311.0,0.0,No,83.0,0.0,No,80.0,2
2,13213.0,13213.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
3,13211.0,0.0,No,466.0,0.0,No,242.0,0.0,No,238.0,2
4,13133.0,13133.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,2
5,13234.0,0.0,No,330.0,0.0,No,77.0,0.0,No,73.0,2
6,13259.0,0.0,No,334.0,0.0,No,99.0,0.0,No,94.0,2
7,13310.0,0.0,No,289.0,0.0,No,40.0,0.0,No,34.0,2
8,13249.0,0.0,No,249.0,0.0,No,25.0,0.0,No,22.0,2
9,13222.0,0.0,No,362.0,0.0,No,103.0,0.0,No,100.0,2
10,13303.0,0.0,No,306.0,0.0,No,113.0,0.0,No,111.0,2
11,13272.0,0.0,No,350.0,0.0,No,92.0,0.0,No,92.0,2
12,13177.0,0.0,No,304.0,0.0,No,52.0,0.0,No,47.0,2
13,13168.0,0.0,No,383.0,0.0,No,135.0,0.0,No,132.0,2
14,13366.0,0.0,No,279.0,0.0,No,38.0,0.0,No,32.0,2
