,variable,value,Type,Mass,Cont
0,Power_Pick_1,0.08,Preharvest,2 Tomatoes,100%
1,Power_Pick_1,0.07,Preharvest,2 Tomatoes,100%
2,Power_Pick_1,0.06,Preharvest,2 Tomatoes,100%
3,Power_Pick_1,0.06,Preharvest,2 Tomatoes,100%
4,Power_Pick_1,0.09,Preharvest,2 Tomatoes,100%
5,Power_Pick_1,0.05,Preharvest,2 Tomatoes,100%
6,Power_Pick_1,0.03,Preharvest,2 Tomatoes,100%
7,Power_Pick_1,0.02,Preharvest,2 Tomatoes,100%
8,Power_Pick_1,0.02,Preharvest,2 Tomatoes,100%
9,Power_Pick_1,0.07,Preharvest,2 Tomatoes,100%
10,Power_Pick_2,0.06,Preharvest,2 Tomatoes,100%
11,Power_Pick_2,0.12,Preharvest,2 Tomatoes,100%
12,Power_Pick_2,0.04,Preharvest,2 Tomatoes,100%
13,Power_Pick_2,0.04,Preharvest,2 Tomatoes,100%
14,Power_Pick_2,0.12,Preharvest,2 Tomatoes,100%
15,Power_Pick_2,0.09,Preharvest,2 Tomatoes,100%
16,Power_Pick_2,0.08,Preharvest,2 Tomatoes,100%
17,Power_Pick_2,0.08,Preharvest,2 Tomatoes,100%
18,Power_Pick_2,0.06,Preharvest,2 Tomatoes,100%
19,Power_Pick_2,0.07,Preharvest,2 Tomatoes,100%
20,Power_Pick_3,0.06,Preharvest,2 Tomatoes,100%
21,Power_Pick_3,0.07,Preharvest,2 Tomatoes,100%
22,Power_Pick_3,0.05,Preharvest,2 Tomatoes,100%
23,Power_Pick_3,0.09,Preharvest,2 Tomatoes,100%
24,Power_Pick_3,0.06,Preharvest,2 Tomatoes,100%
25,Power_Pick_3,0.04,Preharvest,2 Tomatoes,100%
26,Power_Pick_3,0.06,Preharvest,2 Tomatoes,100%
27,Power_Pick_3,0.05,Preharvest,2 Tomatoes,100%
28,Power_Pick_3,0.13,Preharvest,2 Tomatoes,100%
29,Power_Pick_3,0.08,Preharvest,2 Tomatoes,100%
0,Power_Pick_1,0.16,Preharvest,6 Tomatoes,100%
1,Power_Pick_1,0.13,Preharvest,6 Tomatoes,100%
2,Power_Pick_1,0.12,Preharvest,6 Tomatoes,100%
3,Power_Pick_1,0.13,Preharvest,6 Tomatoes,100%
4,Power_Pick_1,0.13,Preharvest,6 Tomatoes,100%
5,Power_Pick_1,0.13,Preharvest,6 Tomatoes,100%
6,Power_Pick_1,0.13,Preharvest,6 Tomatoes,100%
7,Power_Pick_1,0.09,Preharvest,6 Tomatoes,100%
8,Power_Pick_1,0.06,Preharvest,6 Tomatoes,100%
9,Power_Pick_1,0.13,Preharvest,6 Tomatoes,100%
10,Power_Pick_2,0.15,Preharvest,6 Tomatoes,100%
11,Power_Pick_2,0.18,Preharvest,6 Tomatoes,100%
12,Power_Pick_2,0.12,Preharvest,6 Tomatoes,100%
13,Power_Pick_2,0.1,Preharvest,6 Tomatoes,100%
14,Power_Pick_2,0.15,Preharvest,6 Tomatoes,100%
15,Power_Pick_2,0.13,Preharvest,6 Tomatoes,100%
16,Power_Pick_2,0.15,Preharvest,6 Tomatoes,100%
17,Power_Pick_2,0.14,Preharvest,6 Tomatoes,100%
18,Power_Pick_2,0.15,Preharvest,6 Tomatoes,100%
19,Power_Pick_2,0.16,Preharvest,6 Tomatoes,100%
20,Power_Pick_3,0.11,Preharvest,6 Tomatoes,100%
21,Power_Pick_3,0.13,Preharvest,6 Tomatoes,100%
22,Power_Pick_3,0.15,Preharvest,6 Tomatoes,100%
23,Power_Pick_3,0.14,Preharvest,6 Tomatoes,100%
24,Power_Pick_3,0.1,Preharvest,6 Tomatoes,100%
25,Power_Pick_3,0.07,Preharvest,6 Tomatoes,100%
26,Power_Pick_3,0.13,Preharvest,6 Tomatoes,100%
27,Power_Pick_3,0.11,Preharvest,6 Tomatoes,100%
28,Power_Pick_3,0.16,Preharvest,6 Tomatoes,100%
29,Power_Pick_3,0.19,Preharvest,6 Tomatoes,100%
