,variable,value,Type,Mass,Cont
0,Power_Pick_1,0.01,Receiving,2 Tomatoes,Harvesting Bucket
1,Power_Pick_1,0.04,Receiving,2 Tomatoes,Harvesting Bucket
2,Power_Pick_1,0.04,Receiving,2 Tomatoes,Harvesting Bucket
3,Power_Pick_1,0.05,Receiving,2 Tomatoes,Harvesting Bucket
4,Power_Pick_1,0.05,Receiving,2 Tomatoes,Harvesting Bucket
5,Power_Pick_1,0.02,Receiving,2 Tomatoes,Harvesting Bucket
6,Power_Pick_1,0.02,Receiving,2 Tomatoes,Harvesting Bucket
7,Power_Pick_1,0.07,Receiving,2 Tomatoes,Harvesting Bucket
8,Power_Pick_1,0.04,Receiving,2 Tomatoes,Harvesting Bucket
9,Power_Pick_1,0.01,Receiving,2 Tomatoes,Harvesting Bucket
10,Power_Pick_2,0.06,Receiving,2 Tomatoes,Harvesting Bucket
11,Power_Pick_2,0.06,Receiving,2 Tomatoes,Harvesting Bucket
12,Power_Pick_2,0.05,Receiving,2 Tomatoes,Harvesting Bucket
13,Power_Pick_2,0.04,Receiving,2 Tomatoes,Harvesting Bucket
14,Power_Pick_2,0.04,Receiving,2 Tomatoes,Harvesting Bucket
15,Power_Pick_2,0.04,Receiving,2 Tomatoes,Harvesting Bucket
16,Power_Pick_2,0.1,Receiving,2 Tomatoes,Harvesting Bucket
17,Power_Pick_2,0.01,Receiving,2 Tomatoes,Harvesting Bucket
18,Power_Pick_2,0.03,Receiving,2 Tomatoes,Harvesting Bucket
19,Power_Pick_2,0.01,Receiving,2 Tomatoes,Harvesting Bucket
20,Power_Pick_3,0.01,Receiving,2 Tomatoes,Harvesting Bucket
21,Power_Pick_3,0.03,Receiving,2 Tomatoes,Harvesting Bucket
22,Power_Pick_3,0.03,Receiving,2 Tomatoes,Harvesting Bucket
23,Power_Pick_3,0.03,Receiving,2 Tomatoes,Harvesting Bucket
24,Power_Pick_3,0.01,Receiving,2 Tomatoes,Harvesting Bucket
25,Power_Pick_3,0.05,Receiving,2 Tomatoes,Harvesting Bucket
26,Power_Pick_3,0.05,Receiving,2 Tomatoes,Harvesting Bucket
27,Power_Pick_3,0.03,Receiving,2 Tomatoes,Harvesting Bucket
28,Power_Pick_3,0.01,Receiving,2 Tomatoes,Harvesting Bucket
29,Power_Pick_3,0.05,Receiving,2 Tomatoes,Harvesting Bucket
0,Power_Pick_1,0.07,Receiving,6 Tomatoes,Harvesting Bucket
1,Power_Pick_1,0.13,Receiving,6 Tomatoes,Harvesting Bucket
2,Power_Pick_1,0.09,Receiving,6 Tomatoes,Harvesting Bucket
