,variable,value,Type,Mass,Cont
0,Power_Pick_1,0.13333333333333333,Preharvest,2 Tomatoes,100%
1,Power_Pick_1,0.0,Preharvest,2 Tomatoes,100%
2,Power_Pick_1,0.2,Preharvest,2 Tomatoes,100%
3,Power_Pick_1,0.36363636363636365,Preharvest,2 Tomatoes,100%
4,Power_Pick_1,0.26666666666666666,Preharvest,2 Tomatoes,100%
5,Power_Pick_1,0.07142857142857142,Preharvest,2 Tomatoes,100%
6,Power_Pick_1,0.45454545454545453,Preharvest,2 Tomatoes,100%
7,Power_Pick_1,0.1111111111111111,Preharvest,2 Tomatoes,100%
8,Power_Pick_1,0.2,Preharvest,2 Tomatoes,100%
9,Power_Pick_1,0.21428571428571427,Preharvest,2 Tomatoes,100%
10,Power_Pick_1,0.375,Preharvest,2 Tomatoes,100%
11,Power_Pick_1,0.1111111111111111,Preharvest,2 Tomatoes,100%
12,Power_Pick_1,0.25,Preharvest,2 Tomatoes,100%
13,Power_Pick_1,0.11764705882352941,Preharvest,2 Tomatoes,100%
14,Power_Pick_1,0.23076923076923078,Preharvest,2 Tomatoes,100%
15,Power_Pick_1,0.1875,Preharvest,2 Tomatoes,100%
16,Power_Pick_1,0.2857142857142857,Preharvest,2 Tomatoes,100%
17,Power_Pick_1,0.17647058823529413,Preharvest,2 Tomatoes,100%
18,Power_Pick_1,0.15789473684210525,Preharvest,2 Tomatoes,100%
19,Power_Pick_1,0.25,Preharvest,2 Tomatoes,100%
20,Power_Pick_1,0.18181818181818182,Preharvest,2 Tomatoes,100%
21,Power_Pick_1,0.38461538461538464,Preharvest,2 Tomatoes,100%
22,Power_Pick_1,0.3076923076923077,Preharvest,2 Tomatoes,100%
23,Power_Pick_1,0.375,Preharvest,2 Tomatoes,100%
24,Power_Pick_1,0.3333333333333333,Preharvest,2 Tomatoes,100%
25,Power_Pick_1,0.45454545454545453,Preharvest,2 Tomatoes,100%
26,Power_Pick_1,0.3333333333333333,Preharvest,2 Tomatoes,100%
27,Power_Pick_1,0.3333333333333333,Preharvest,2 Tomatoes,100%
28,Power_Pick_1,0.2857142857142857,Preharvest,2 Tomatoes,100%
29,Power_Pick_1,0.3333333333333333,Preharvest,2 Tomatoes,100%
30,Power_Pick_1,0.25,Preharvest,2 Tomatoes,100%
31,Power_Pick_1,0.3,Preharvest,2 Tomatoes,100%
32,Power_Pick_1,0.3684210526315789,Preharvest,2 Tomatoes,100%
33,Power_Pick_1,0.18181818181818182,Preharvest,2 Tomatoes,100%
34,Power_Pick_1,0.0,Preharvest,2 Tomatoes,100%
35,Power_Pick_1,0.07142857142857142,Preharvest,2 Tomatoes,100%
36,Power_Pick_1,0.3076923076923077,Preharvest,2 Tomatoes,100%
37,Power_Pick_1,0.07142857142857142,Preharvest,2 Tomatoes,100%
38,Power_Pick_1,0.14285714285714285,Preharvest,2 Tomatoes,100%
39,Power_Pick_1,0.5,Preharvest,2 Tomatoes,100%
40,Power_Pick_1,0.13333333333333333,Preharvest,2 Tomatoes,100%
41,Power_Pick_1,0.2727272727272727,Preharvest,2 Tomatoes,100%
42,Power_Pick_1,0.16666666666666666,Preharvest,2 Tomatoes,100%
43,Power_Pick_1,0.08333333333333333,Preharvest,2 Tomatoes,100%
44,Power_Pick_1,0.15384615384615385,Preharvest,2 Tomatoes,100%
45,Power_Pick_1,0.09090909090909091,Preharvest,2 Tomatoes,100%
46,Power_Pick_1,0.3333333333333333,Preharvest,2 Tomatoes,100%
47,Power_Pick_1,0.25,Preharvest,2 Tomatoes,100%
48,Power_Pick_1,0.25,Preharvest,2 Tomatoes,100%
49,Power_Pick_1,0.1875,Preharvest,2 Tomatoes,100%
50,Power_Pick_2,0.125,Preharvest,2 Tomatoes,100%
51,Power_Pick_2,0.10344827586206896,Preharvest,2 Tomatoes,100%
52,Power_Pick_2,0.1111111111111111,Preharvest,2 Tomatoes,100%
53,Power_Pick_2,0.18181818181818182,Preharvest,2 Tomatoes,100%
54,Power_Pick_2,0.09090909090909091,Preharvest,2 Tomatoes,100%
55,Power_Pick_2,0.14705882352941177,Preharvest,2 Tomatoes,100%
56,Power_Pick_2,0.043478260869565216,Preharvest,2 Tomatoes,100%
57,Power_Pick_2,0.15384615384615385,Preharvest,2 Tomatoes,100%
58,Power_Pick_2,0.043478260869565216,Preharvest,2 Tomatoes,100%
59,Power_Pick_2,0.07142857142857142,Preharvest,2 Tomatoes,100%
60,Power_Pick_2,0.037037037037037035,Preharvest,2 Tomatoes,100%
61,Power_Pick_2,0.03333333333333333,Preharvest,2 Tomatoes,100%
62,Power_Pick_2,0.10714285714285714,Preharvest,2 Tomatoes,100%
63,Power_Pick_2,0.07692307692307693,Preharvest,2 Tomatoes,100%
64,Power_Pick_2,0.038461538461538464,Preharvest,2 Tomatoes,100%
65,Power_Pick_2,0.07142857142857142,Preharvest,2 Tomatoes,100%
66,Power_Pick_2,0.08695652173913043,Preharvest,2 Tomatoes,100%
67,Power_Pick_2,0.11428571428571428,Preharvest,2 Tomatoes,100%
68,Power_Pick_2,0.0,Preharvest,2 Tomatoes,100%
69,Power_Pick_2,0.10344827586206896,Preharvest,2 Tomatoes,100%
70,Power_Pick_2,0.12,Preharvest,2 Tomatoes,100%
71,Power_Pick_2,0.2608695652173913,Preharvest,2 Tomatoes,100%
72,Power_Pick_2,0.037037037037037035,Preharvest,2 Tomatoes,100%
73,Power_Pick_2,0.15,Preharvest,2 Tomatoes,100%
74,Power_Pick_2,0.17857142857142858,Preharvest,2 Tomatoes,100%
75,Power_Pick_2,0.14285714285714285,Preharvest,2 Tomatoes,100%
76,Power_Pick_2,0.1724137931034483,Preharvest,2 Tomatoes,100%
77,Power_Pick_2,0.125,Preharvest,2 Tomatoes,100%
78,Power_Pick_2,0.06896551724137931,Preharvest,2 Tomatoes,100%
79,Power_Pick_2,0.23529411764705882,Preharvest,2 Tomatoes,100%
80,Power_Pick_2,0.09523809523809523,Preharvest,2 Tomatoes,100%
81,Power_Pick_2,0.2857142857142857,Preharvest,2 Tomatoes,100%
82,Power_Pick_2,0.047619047619047616,Preharvest,2 Tomatoes,100%
83,Power_Pick_2,0.10344827586206896,Preharvest,2 Tomatoes,100%
84,Power_Pick_2,0.19230769230769232,Preharvest,2 Tomatoes,100%
85,Power_Pick_2,0.06060606060606061,Preharvest,2 Tomatoes,100%
86,Power_Pick_2,0.08333333333333333,Preharvest,2 Tomatoes,100%
87,Power_Pick_2,0.058823529411764705,Preharvest,2 Tomatoes,100%
88,Power_Pick_2,0.0,Preharvest,2 Tomatoes,100%
89,Power_Pick_2,0.07142857142857142,Preharvest,2 Tomatoes,100%
90,Power_Pick_2,0.03571428571428571,Preharvest,2 Tomatoes,100%
91,Power_Pick_2,0.18181818181818182,Preharvest,2 Tomatoes,100%
92,Power_Pick_2,0.16666666666666666,Preharvest,2 Tomatoes,100%
93,Power_Pick_2,0.15151515151515152,Preharvest,2 Tomatoes,100%
94,Power_Pick_2,0.1111111111111111,Preharvest,2 Tomatoes,100%
95,Power_Pick_2,0.21428571428571427,Preharvest,2 Tomatoes,100%
96,Power_Pick_2,0.17857142857142858,Preharvest,2 Tomatoes,100%
97,Power_Pick_2,0.15384615384615385,Preharvest,2 Tomatoes,100%
98,Power_Pick_2,0.13793103448275862,Preharvest,2 Tomatoes,100%
99,Power_Pick_2,0.1935483870967742,Preharvest,2 Tomatoes,100%
100,Power_Pick_3,0.075,Preharvest,2 Tomatoes,100%
101,Power_Pick_3,0.07317073170731707,Preharvest,2 Tomatoes,100%
102,Power_Pick_3,0.13157894736842105,Preharvest,2 Tomatoes,100%
103,Power_Pick_3,0.05263157894736842,Preharvest,2 Tomatoes,100%
104,Power_Pick_3,0.05263157894736842,Preharvest,2 Tomatoes,100%
105,Power_Pick_3,0.14634146341463414,Preharvest,2 Tomatoes,100%
106,Power_Pick_3,0.02564102564102564,Preharvest,2 Tomatoes,100%
107,Power_Pick_3,0.023255813953488372,Preharvest,2 Tomatoes,100%
108,Power_Pick_3,0.06666666666666667,Preharvest,2 Tomatoes,100%
109,Power_Pick_3,0.12195121951219512,Preharvest,2 Tomatoes,100%
110,Power_Pick_3,0.02564102564102564,Preharvest,2 Tomatoes,100%
111,Power_Pick_3,0.0,Preharvest,2 Tomatoes,100%
112,Power_Pick_3,0.05263157894736842,Preharvest,2 Tomatoes,100%
113,Power_Pick_3,0.09523809523809523,Preharvest,2 Tomatoes,100%
114,Power_Pick_3,0.16279069767441862,Preharvest,2 Tomatoes,100%
115,Power_Pick_3,0.0975609756097561,Preharvest,2 Tomatoes,100%
116,Power_Pick_3,0.07142857142857142,Preharvest,2 Tomatoes,100%
117,Power_Pick_3,0.023255813953488372,Preharvest,2 Tomatoes,100%
118,Power_Pick_3,0.06976744186046512,Preharvest,2 Tomatoes,100%
119,Power_Pick_3,0.05,Preharvest,2 Tomatoes,100%
120,Power_Pick_3,0.11627906976744186,Preharvest,2 Tomatoes,100%
121,Power_Pick_3,0.11764705882352941,Preharvest,2 Tomatoes,100%
122,Power_Pick_3,0.04878048780487805,Preharvest,2 Tomatoes,100%
123,Power_Pick_3,0.08333333333333333,Preharvest,2 Tomatoes,100%
124,Power_Pick_3,0.05405405405405406,Preharvest,2 Tomatoes,100%
125,Power_Pick_3,0.05128205128205128,Preharvest,2 Tomatoes,100%
126,Power_Pick_3,0.075,Preharvest,2 Tomatoes,100%
127,Power_Pick_3,0.075,Preharvest,2 Tomatoes,100%
128,Power_Pick_3,0.0975609756097561,Preharvest,2 Tomatoes,100%
129,Power_Pick_3,0.2,Preharvest,2 Tomatoes,100%
130,Power_Pick_3,0.0975609756097561,Preharvest,2 Tomatoes,100%
131,Power_Pick_3,0.058823529411764705,Preharvest,2 Tomatoes,100%
132,Power_Pick_3,0.05263157894736842,Preharvest,2 Tomatoes,100%
133,Power_Pick_3,0.09523809523809523,Preharvest,2 Tomatoes,100%
134,Power_Pick_3,0.05,Preharvest,2 Tomatoes,100%
135,Power_Pick_3,0.046511627906976744,Preharvest,2 Tomatoes,100%
136,Power_Pick_3,0.125,Preharvest,2 Tomatoes,100%
137,Power_Pick_3,0.11363636363636363,Preharvest,2 Tomatoes,100%
138,Power_Pick_3,0.17777777777777778,Preharvest,2 Tomatoes,100%
139,Power_Pick_3,0.075,Preharvest,2 Tomatoes,100%
140,Power_Pick_3,0.09090909090909091,Preharvest,2 Tomatoes,100%
141,Power_Pick_3,0.08108108108108109,Preharvest,2 Tomatoes,100%
142,Power_Pick_3,0.12195121951219512,Preharvest,2 Tomatoes,100%
143,Power_Pick_3,0.023809523809523808,Preharvest,2 Tomatoes,100%
144,Power_Pick_3,0.04878048780487805,Preharvest,2 Tomatoes,100%
145,Power_Pick_3,0.10256410256410256,Preharvest,2 Tomatoes,100%
146,Power_Pick_3,0.08108108108108109,Preharvest,2 Tomatoes,100%
