"","Type","Mass","variable","ContType","mean","CI_95","CI_05"
"1","Preharvest","2 tomatoes","Power_Pick_1","Uniform",2.98,5,1
"2","Preharvest","2 tomatoes","Power_Pick_1","PointSource",0.1,0.100000000000001,0
"3","Preharvest","2 tomatoes","Power_Pick_2","Uniform",3.64,6,1
"4","Preharvest","2 tomatoes","Power_Pick_2","PointSource",0.08,0,0
"5","Preharvest","2 tomatoes","Power_Pick_3","Uniform",3,5,1
"6","Preharvest","2 tomatoes","Power_Pick_3","PointSource",0,0,0
"7","Preharvest","6 tomatoes","Power_Pick_1","Uniform",6.1,10,3
"8","Preharvest","6 tomatoes","Power_Pick_1","PointSource",0.14,1,0
"9","Preharvest","6 tomatoes","Power_Pick_2","Uniform",7.16,10,5
"10","Preharvest","6 tomatoes","Power_Pick_2","PointSource",0.18,1,0
"11","Preharvest","6 tomatoes","Power_Pick_3","Uniform",6.78,10,4
"12","Preharvest","6 tomatoes","Power_Pick_3","PointSource",0.22,1,0
"13","Preharvest","20 x 5 tomatoes","Power_Pick_1","Uniform",12.58,17,8
"14","Preharvest","20 x 5 tomatoes","Power_Pick_1","PointSource",1.58,3.1,0
"15","Preharvest","20 x 5 tomatoes","Power_Pick_2","Uniform",16.68,21,13.9
"16","Preharvest","20 x 5 tomatoes","Power_Pick_2","PointSource",2.36,4,1
"17","Preharvest","20 x 5 tomatoes","Power_Pick_3","Uniform",15.7,20,10.9
"18","Preharvest","20 x 5 tomatoes","Power_Pick_3","PointSource",2.08,4,0
"19","Preharvest","20 Tomato Mash","Power_Pick_1","Uniform",0.26,1,0
"20","Preharvest","20 Tomato Mash","Power_Pick_2","Uniform",0,0,0
"21","Preharvest","20 Tomato Mash","Power_Pick_3","Uniform",0,0,0
"22","Harvest","2 tomatoes","Power_Pick_1","Uniform",3.08,5.1,1
"23","Harvest","2 tomatoes","Power_Pick_1","PointSource",0.1,0.100000000000001,0
"24","Harvest","2 tomatoes","Power_Pick_2","Uniform",3.84,6,1
"25","Harvest","2 tomatoes","Power_Pick_2","PointSource",0.08,0,0
"26","Harvest","2 tomatoes","Power_Pick_3","Uniform",2.84,5,0
"27","Harvest","2 tomatoes","Power_Pick_3","PointSource",0,0,0
"28","Harvest","6 tomatoes","Power_Pick_1","Uniform",6.32,9.1,3
"29","Harvest","6 tomatoes","Power_Pick_1","PointSource",0.14,1,0
"30","Harvest","6 tomatoes","Power_Pick_2","Uniform",7.5,10,4.9
"31","Harvest","6 tomatoes","Power_Pick_2","PointSource",0.18,1,0
"32","Harvest","6 tomatoes","Power_Pick_3","Uniform",6.56,9.1,4
"33","Harvest","6 tomatoes","Power_Pick_3","PointSource",0.16,1,0
"34","Harvest","20 x 5 tomatoes","Power_Pick_1","Uniform",15.28,19,10
"35","Harvest","20 x 5 tomatoes","Power_Pick_1","PointSource",1.86,4,0
"36","Harvest","20 x 5 tomatoes","Power_Pick_2","Uniform",17.5,22,13
"37","Harvest","20 x 5 tomatoes","Power_Pick_2","PointSource",2.16,4,1
"38","Harvest","20 x 5 tomatoes","Power_Pick_3","Uniform",15,19.1,10.9
"39","Harvest","20 x 5 tomatoes","Power_Pick_3","PointSource",1.98,4,0
"40","Harvest","20 Tomato Mash","Power_Pick_1","Uniform",0.38,1,0
"41","Harvest","20 Tomato Mash","Power_Pick_2","Uniform",0,0,0
"42","Harvest","20 Tomato Mash","Power_Pick_3","Uniform",0,0,0
"43","Receiving","2 tomatoes","Power_Pick_1","Uniform",2.62,5,0.9
"44","Receiving","2 tomatoes","Power_Pick_1","PointSource",0.1,0.100000000000001,0
"45","Receiving","2 tomatoes","Power_Pick_2","Uniform",4,6,2
"46","Receiving","2 tomatoes","Power_Pick_2","PointSource",0.08,0,0
"47","Receiving","2 tomatoes","Power_Pick_3","Uniform",2.9,5,1
"48","Receiving","2 tomatoes","Power_Pick_3","PointSource",0,0,0
"49","Receiving","6 tomatoes","Power_Pick_1","Uniform",5.92,9,3
"50","Receiving","6 tomatoes","Power_Pick_1","PointSource",0.14,1,0
"51","Receiving","6 tomatoes","Power_Pick_2","Uniform",7.04,9.2,4
"52","Receiving","6 tomatoes","Power_Pick_2","PointSource",0.22,1,0
"53","Receiving","6 tomatoes","Power_Pick_3","Uniform",6.06,9,3
"54","Receiving","6 tomatoes","Power_Pick_3","PointSource",0.12,1,0
"55","Receiving","20 x 5 tomatoes","Power_Pick_1","Uniform",15.24,19,10.9
"56","Receiving","20 x 5 tomatoes","Power_Pick_1","PointSource",1.86,4,0
"57","Receiving","20 x 5 tomatoes","Power_Pick_2","Uniform",17.44,21.1,12.9
"58","Receiving","20 x 5 tomatoes","Power_Pick_2","PointSource",2,4,0.9
"59","Receiving","20 x 5 tomatoes","Power_Pick_3","Uniform",15.22,20.1,11
"60","Receiving","20 x 5 tomatoes","Power_Pick_3","PointSource",2.12,4,0
"61","Receiving","20 Tomato Mash","Power_Pick_1","Uniform",0,0,0
"62","Receiving","20 Tomato Mash","Power_Pick_2","Uniform",0,0,0
"63","Receiving","20 Tomato Mash","Power_Pick_3","Uniform",0,0,0
"64","Packed Product","2 tomatoes","Power_Pick_1","Uniform",0.26,1,0
"65","Packed Product","2 tomatoes","Power_Pick_1","PointSource",0,0,0
"66","Packed Product","2 tomatoes","Power_Pick_2","Uniform",0.16,1,0
"67","Packed Product","2 tomatoes","Power_Pick_2","PointSource",0.06,0,0
"68","Packed Product","2 tomatoes","Power_Pick_3","Uniform",0.26,1,0
"69","Packed Product","2 tomatoes","Power_Pick_3","PointSource",0.02,0,0
"70","Packed Product","6 tomatoes","Power_Pick_1","Uniform",0.64,2,0
"71","Packed Product","6 tomatoes","Power_Pick_1","PointSource",0.06,0,0
"72","Packed Product","6 tomatoes","Power_Pick_2","Uniform",0.88,2,0
"73","Packed Product","6 tomatoes","Power_Pick_2","PointSource",0.16,1,0
"74","Packed Product","6 tomatoes","Power_Pick_3","Uniform",0.76,2,0
"75","Packed Product","6 tomatoes","Power_Pick_3","PointSource",0.08,0,0
"76","Packed Product","20 x 5 tomatoes","Power_Pick_1","Uniform",6.12,9.1,3
"77","Packed Product","20 x 5 tomatoes","Power_Pick_1","PointSource",2.12,4,0
"78","Packed Product","20 x 5 tomatoes","Power_Pick_2","Uniform",7.58,11,4
"79","Packed Product","20 x 5 tomatoes","Power_Pick_2","PointSource",1.88,3,0.9
"80","Packed Product","20 x 5 tomatoes","Power_Pick_3","Uniform",6.62,9,4
"81","Packed Product","20 x 5 tomatoes","Power_Pick_3","PointSource",1.64,3,0
"82","Packed Product","20 Tomato Mash","Power_Pick_1","Uniform",0,0,0
"83","Packed Product","20 Tomato Mash","Power_Pick_2","Uniform",0,0,0
"84","Packed Product","20 Tomato Mash","Power_Pick_3","Uniform",0,0,0
