,Cont,Pick,Type,Mass,Cont Type,HI
0,0.0,1.0,PH,1 Tomato,Uniform,161796.0
1,0.08495379409084992,1.0,PH,1 Tomato,Uniform,161796.0
2,0.0,1.0,PH,1 Tomato,Uniform,161796.0
3,0.0,1.0,PH,1 Tomato,Uniform,161796.0
4,0.0,1.0,PH,1 Tomato,Uniform,161796.0
5,0.17815957308343094,1.0,PH,1 Tomato,Uniform,161796.0
6,0.0,1.0,PH,1 Tomato,Uniform,161796.0
7,0.0,1.0,PH,1 Tomato,Uniform,161796.0
8,0.0,1.0,PH,1 Tomato,Uniform,161796.0
9,0.0,1.0,PH,1 Tomato,Uniform,161796.0
10,0.06804633606664064,1.0,PH,1 Tomato,Uniform,161796.0
11,0.22418326174671352,1.0,PH,1 Tomato,Uniform,161796.0
12,0.0,1.0,PH,1 Tomato,Uniform,161796.0
13,0.1409996095275283,1.0,PH,1 Tomato,Uniform,161796.0
14,0.0,1.0,PH,1 Tomato,Uniform,161796.0
15,0.0,1.0,PH,1 Tomato,Uniform,161796.0
16,0.0,1.0,PH,1 Tomato,Uniform,161796.0
17,0.0,1.0,PH,1 Tomato,Uniform,161796.0
18,0.2230769230769231,1.0,PH,1 Tomato,Uniform,161796.0
19,0.0,1.0,PH,1 Tomato,Uniform,161796.0
20,0.0,1.0,PH,1 Tomato,Uniform,161796.0
21,0.0,1.0,PH,1 Tomato,Uniform,161796.0
22,0.0,1.0,PH,1 Tomato,Uniform,161796.0
23,0.14073929454640113,1.0,PH,1 Tomato,Uniform,161796.0
24,0.0,1.0,PH,1 Tomato,Uniform,161796.0
25,0.109774827541325,1.0,PH,1 Tomato,Uniform,161796.0
26,0.0,1.0,PH,1 Tomato,Uniform,161796.0
27,0.0,1.0,PH,1 Tomato,Uniform,161796.0
28,0.0,1.0,PH,1 Tomato,Uniform,161796.0
29,0.0,1.0,PH,1 Tomato,Uniform,161796.0
30,0.0,1.0,PH,1 Tomato,Uniform,161796.0
31,0.0,1.0,PH,1 Tomato,Uniform,161796.0
32,0.42141090719770924,1.0,PH,1 Tomato,Uniform,161796.0
33,0.0,1.0,PH,1 Tomato,Uniform,161796.0
34,0.0,1.0,PH,1 Tomato,Uniform,161796.0
35,0.0,1.0,PH,1 Tomato,Uniform,161796.0
36,0.0,1.0,PH,1 Tomato,Uniform,161796.0
37,0.3437329168293635,1.0,PH,1 Tomato,Uniform,161796.0
38,0.0,1.0,PH,1 Tomato,Uniform,161796.0
39,0.5027853702980607,1.0,PH,1 Tomato,Uniform,161796.0
40,0.0,1.0,PH,1 Tomato,Uniform,161796.0
41,0.0,1.0,PH,1 Tomato,Uniform,161796.0
42,0.14060913705583755,1.0,PH,1 Tomato,Uniform,161796.0
43,0.27992971495509567,1.0,PH,1 Tomato,Uniform,161796.0
44,0.0,1.0,PH,1 Tomato,Uniform,161796.0
45,0.0,1.0,PH,1 Tomato,Uniform,161796.0
46,0.22385786802030458,1.0,PH,1 Tomato,Uniform,161796.0
47,0.0,1.0,PH,1 Tomato,Uniform,161796.0
48,0.0,1.0,PH,1 Tomato,Uniform,161796.0
49,0.0,1.0,PH,1 Tomato,Uniform,161796.0
0,0.0,2.0,PH,1 Tomato,Uniform,161796.0
1,0.0,2.0,PH,1 Tomato,Uniform,161796.0
2,0.0,2.0,PH,1 Tomato,Uniform,161796.0
3,0.03205778992581023,2.0,PH,1 Tomato,Uniform,161796.0
4,0.10032539372640896,2.0,PH,1 Tomato,Uniform,161796.0
5,0.00590915007158662,2.0,PH,1 Tomato,Uniform,161796.0
6,0.0,2.0,PH,1 Tomato,Uniform,161796.0
7,0.2030847325263569,2.0,PH,1 Tomato,Uniform,161796.0
8,0.023805805024079137,2.0,PH,1 Tomato,Uniform,161796.0
9,0.0,2.0,PH,1 Tomato,Uniform,161796.0
10,0.0,2.0,PH,1 Tomato,Uniform,161796.0
11,0.0069373942470389175,2.0,PH,1 Tomato,Uniform,161796.0
12,0.0,2.0,PH,1 Tomato,Uniform,161796.0
13,0.004217102694260054,2.0,PH,1 Tomato,Uniform,161796.0
14,0.03158922295978134,2.0,PH,1 Tomato,Uniform,161796.0
15,0.0,2.0,PH,1 Tomato,Uniform,161796.0
16,0.0,2.0,PH,1 Tomato,Uniform,161796.0
17,0.39073278667187294,2.0,PH,1 Tomato,Uniform,161796.0
18,0.0065859690225172456,2.0,PH,1 Tomato,Uniform,161796.0
19,0.25342964987635036,2.0,PH,1 Tomato,Uniform,161796.0
20,0.0,2.0,PH,1 Tomato,Uniform,161796.0
21,0.0,2.0,PH,1 Tomato,Uniform,161796.0
22,0.46782506833268256,2.0,PH,1 Tomato,Uniform,161796.0
23,0.004217102694260054,2.0,PH,1 Tomato,Uniform,161796.0
24,0.0,2.0,PH,1 Tomato,Uniform,161796.0
25,0.0034621892489912795,2.0,PH,1 Tomato,Uniform,161796.0
26,0.0,2.0,PH,1 Tomato,Uniform,161796.0
27,0.6490693739424704,2.0,PH,1 Tomato,Uniform,161796.0
28,0.6510217363009241,2.0,PH,1 Tomato,Uniform,161796.0
29,0.6535467916178576,2.0,PH,1 Tomato,Uniform,161796.0
30,0.0,2.0,PH,1 Tomato,Uniform,161796.0
31,0.5561108941819601,2.0,PH,1 Tomato,Uniform,161796.0
32,0.014759859429910191,2.0,PH,1 Tomato,Uniform,161796.0
33,0.4681374463100351,2.0,PH,1 Tomato,Uniform,161796.0
34,0.0,2.0,PH,1 Tomato,Uniform,161796.0
35,0.025471820903292985,2.0,PH,1 Tomato,Uniform,161796.0
36,0.4683587140439932,2.0,PH,1 Tomato,Uniform,161796.0
37,0.01181830014317324,2.0,PH,1 Tomato,Uniform,161796.0
38,0.0,2.0,PH,1 Tomato,Uniform,161796.0
39,0.0,2.0,PH,1 Tomato,Uniform,161796.0
40,0.03125081348431602,2.0,PH,1 Tomato,Uniform,161796.0
41,0.0,2.0,PH,1 Tomato,Uniform,161796.0
42,0.003956787713132891,2.0,PH,1 Tomato,Uniform,161796.0
43,0.008538331380970975,2.0,PH,1 Tomato,Uniform,161796.0
44,0.0,2.0,PH,1 Tomato,Uniform,161796.0
45,0.0,2.0,PH,1 Tomato,Uniform,161796.0
46,0.007536118703631394,2.0,PH,1 Tomato,Uniform,161796.0
47,0.0,2.0,PH,1 Tomato,Uniform,161796.0
48,0.6517506182480802,2.0,PH,1 Tomato,Uniform,161796.0
49,0.0,2.0,PH,1 Tomato,Uniform,161796.0
0,0.44207416277283906,3.0,PH,1 Tomato,Uniform,161796.0
1,0.0,3.0,PH,1 Tomato,Uniform,161796.0
2,0.06174590985409535,3.0,PH,1 Tomato,Uniform,161796.0
3,0.0007549036196327003,3.0,PH,1 Tomato,Uniform,161796.0
4,0.002889458682042405,3.0,PH,1 Tomato,Uniform,161796.0
5,0.00016920253543491559,3.0,PH,1 Tomato,Uniform,161796.0
6,0.237924795980789,3.0,PH,1 Tomato,Uniform,161796.0
7,0.0,3.0,PH,1 Tomato,Uniform,161796.0
8,0.0005076076063047467,3.0,PH,1 Tomato,Uniform,161796.0
9,0.8791633585401726,3.0,PH,1 Tomato,Uniform,161796.0
10,0.0,3.0,PH,1 Tomato,Uniform,161796.0
11,0.00015618695578607593,3.0,PH,1 Tomato,Uniform,161796.0
12,0.44314144030404395,3.0,PH,1 Tomato,Uniform,161796.0
13,0.00016920253543491559,3.0,PH,1 Tomato,Uniform,161796.0
14,0.000885059416121097,3.0,PH,1 Tomato,Uniform,161796.0
15,0.0,3.0,PH,1 Tomato,Uniform,161796.0
16,0.2951803308560347,3.0,PH,1 Tomato,Uniform,161796.0
17,0.0,3.0,PH,1 Tomato,Uniform,161796.0
18,0.00022126485403027425,3.0,PH,1 Tomato,Uniform,161796.0
19,0.0,3.0,PH,1 Tomato,Uniform,161796.0
20,0.0383308820658328,3.0,PH,1 Tomato,Uniform,161796.0
21,0.04805352006351603,3.0,PH,1 Tomato,Uniform,161796.0
22,0.0,3.0,PH,1 Tomato,Uniform,161796.0
23,0.0001301557964883966,3.0,PH,1 Tomato,Uniform,161796.0
24,0.04738972550142521,3.0,PH,1 Tomato,Uniform,161796.0
25,0.00011714021683955695,3.0,PH,1 Tomato,Uniform,161796.0
26,0.297835509104398,3.0,PH,1 Tomato,Uniform,161796.0
27,0.028959664718668246,3.0,PH,1 Tomato,Uniform,161796.0
28,0.0,3.0,PH,1 Tomato,Uniform,161796.0
29,0.0,3.0,PH,1 Tomato,Uniform,161796.0
30,0.04837890955473702,3.0,PH,1 Tomato,Uniform,161796.0
31,0.0,3.0,PH,1 Tomato,Uniform,161796.0
32,0.0004295141284117088,3.0,PH,1 Tomato,Uniform,161796.0
33,0.0,3.0,PH,1 Tomato,Uniform,161796.0
34,0.036599809972537124,3.0,PH,1 Tomato,Uniform,161796.0
35,0.000689825721388502,3.0,PH,1 Tomato,Uniform,161796.0
36,0.0,3.0,PH,1 Tomato,Uniform,161796.0
37,0.0002733271726256329,3.0,PH,1 Tomato,Uniform,161796.0
38,0.8035949030990095,3.0,PH,1 Tomato,Uniform,161796.0
39,0.0,3.0,PH,1 Tomato,Uniform,161796.0
40,0.0010542619515560125,3.0,PH,1 Tomato,Uniform,161796.0
41,0.0,3.0,PH,1 Tomato,Uniform,161796.0
42,9.110905754187763e-05,3.0,PH,1 Tomato,Uniform,161796.0
43,0.0002472960133279536,3.0,PH,1 Tomato,Uniform,161796.0
44,0.04880842368314873,3.0,PH,1 Tomato,Uniform,161796.0
45,0.150499147479533,3.0,PH,1 Tomato,Uniform,161796.0
46,0.00015618695578607593,3.0,PH,1 Tomato,Uniform,161796.0
47,0.5301115435175906,3.0,PH,1 Tomato,Uniform,161796.0
48,0.0,3.0,PH,1 Tomato,Uniform,161796.0
49,0.0622535174604001,3.0,PH,1 Tomato,Uniform,161796.0
0,0.0456722634387609,1.0,PH,1 Tomato,Uniform,139530.0
1,0.0,1.0,PH,1 Tomato,Uniform,139530.0
2,0.0,1.0,PH,1 Tomato,Uniform,139530.0
3,0.04676558635949499,1.0,PH,1 Tomato,Uniform,139530.0
4,0.4568788233762853,1.0,PH,1 Tomato,Uniform,139530.0
5,0.0,1.0,PH,1 Tomato,Uniform,139530.0
6,0.45342964987635037,1.0,PH,1 Tomato,Uniform,139530.0
7,0.3038917089678511,1.0,PH,1 Tomato,Uniform,139530.0
8,0.244149420799167,1.0,PH,1 Tomato,Uniform,139530.0
9,0.0,1.0,PH,1 Tomato,Uniform,139530.0
10,0.24814525575946897,1.0,PH,1 Tomato,Uniform,139530.0
11,0.0956136925680073,1.0,PH,1 Tomato,Uniform,139530.0
12,0.09567877131328908,1.0,PH,1 Tomato,Uniform,139530.0
13,0.0,1.0,PH,1 Tomato,Uniform,139530.0
14,0.45532994923857867,1.0,PH,1 Tomato,Uniform,139530.0
15,0.0,1.0,PH,1 Tomato,Uniform,139530.0
16,0.0,1.0,PH,1 Tomato,Uniform,139530.0
17,0.059768319666796826,1.0,PH,1 Tomato,Uniform,139530.0
18,0.0,1.0,PH,1 Tomato,Uniform,139530.0
19,0.12147598594299101,1.0,PH,1 Tomato,Uniform,139530.0
20,0.09746192893401015,1.0,PH,1 Tomato,Uniform,139530.0
21,0.0972276454509957,1.0,PH,1 Tomato,Uniform,139530.0
22,0.30252505531693347,1.0,PH,1 Tomato,Uniform,139530.0
23,0.0603670441233893,1.0,PH,1 Tomato,Uniform,139530.0
24,0.0,1.0,PH,1 Tomato,Uniform,139530.0
25,0.0,1.0,PH,1 Tomato,Uniform,139530.0
