,Total_CFU,Type,Mass,Cont
0,8746563,Baseline,Baseline,Harvesting Bucket
0,2272124,Receiving,20 Tomatoes,Harvesting Bucket
0,4122081,Packed Product,2 Tomatoes,Harvesting Bucket
0,4081952,Receiving,2 Tomatoes,Harvesting Bucket
0,3705133,Packed Product,20 Tomato Mash,Harvesting Bucket
0,3680439,Packed Product,6 Tomatoes,Harvesting Bucket
0,3586795,Receiving,6 Tomatoes,Harvesting Bucket
0,2609667,Packed Product,60 Tomato Mash,Harvesting Bucket
0,2464794,Packed Product,20 Tomatoes,Harvesting Bucket
0,2282124,Receiving,20 Tomato Mash,Harvesting Bucket
0,1520899,Receiving,60 Tomatoes,Harvesting Bucket
0,1488445,Receiving,60 Tomato Mash,Harvesting Bucket
0,937278,Packed Product,60 Tomatoes,Harvesting Bucket
0,8742599,Baseline,Baseline,Harvesting Bin
0,7936028,Receiving,2 Tomatoes,Harvesting Bin
0,6692876,Receiving,6 Tomatoes,Harvesting Bin
0,3836729,Receiving,20 Tomatoes,Harvesting Bin
0,974281,Receiving,60 Tomatoes,Harvesting Bin
0,4002008,Receiving,20 Tomato Mash,Harvesting Bin
0,1217875,Receiving,60 Tomato Mash,Harvesting Bin
0,8208907,Packed Product,2 Tomatoes,Harvesting Bin
0,7280669,Packed Product,6 Tomatoes,Harvesting Bin
0,4814608,Packed Product,20 Tomatoes,Harvesting Bin
0,1814359,Packed Product,60 Tomatoes,Harvesting Bin
0,7370315,Packed Product,20 Tomato Mash,Harvesting Bin
0,5409677,Packed Product,60 Tomato Mash,Harvesting Bin
