,CFU_Bef_Pick1PHS,0,1,CFU_Bef_Pick2PHS,2,3,CFU_Bef_Pick3PHS,4,5,Total CFU,6
0,4697.0,0.0,No,196.0,0.0,No,102.0,0.0,No,102.0,1
1,4652.0,0.0,No,150.0,0.0,No,54.0,0.0,No,52.0,1
2,4728.0,4728.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
3,4829.0,0.0,No,281.0,0.0,No,208.0,0.0,No,207.0,1
4,4758.0,0.0,No,137.0,0.0,No,47.0,0.0,No,46.0,1
5,4773.0,0.0,No,158.0,0.0,No,69.0,0.0,No,69.0,1
6,4680.0,0.0,No,137.0,0.0,No,65.0,0.0,No,62.0,1
7,4888.0,0.0,No,97.0,0.0,No,22.0,0.0,No,20.0,1
8,4743.0,0.0,No,113.0,0.0,No,15.0,0.0,No,14.0,1
9,4615.0,0.0,No,134.0,0.0,No,58.0,0.0,No,58.0,1
10,4744.0,0.0,No,187.0,0.0,No,92.0,0.0,No,91.0,1
11,4721.0,0.0,No,173.0,0.0,No,79.0,0.0,No,78.0,1
12,4736.0,0.0,No,122.0,0.0,No,41.0,0.0,No,39.0,1
13,4756.0,0.0,No,218.0,0.0,No,131.0,0.0,No,131.0,1
14,4669.0,0.0,No,109.0,0.0,No,18.0,0.0,No,16.0,1
15,4760.0,0.0,No,129.0,0.0,No,38.0,0.0,No,38.0,1
16,4677.0,0.0,No,107.0,0.0,No,32.0,0.0,No,31.0,1
17,4735.0,0.0,No,115.0,0.0,No,18.0,0.0,No,16.0,1
18,4718.0,0.0,No,143.0,0.0,No,66.0,0.0,No,64.0,1
19,4824.0,0.0,No,180.0,0.0,No,77.0,0.0,No,75.0,1
20,4771.0,0.0,No,209.0,0.0,No,117.0,0.0,No,115.0,1
21,4770.0,0.0,No,108.0,0.0,No,23.0,0.0,No,20.0,1
22,4911.0,0.0,No,156.0,0.0,No,65.0,0.0,No,64.0,1
23,4873.0,0.0,No,158.0,0.0,No,64.0,0.0,No,63.0,1
24,4911.0,0.0,No,89.0,0.0,No,15.0,0.0,No,15.0,1
25,4718.0,0.0,No,111.0,0.0,No,32.0,0.0,No,28.0,1
26,4831.0,0.0,No,140.0,0.0,No,58.0,0.0,No,57.0,1
27,4757.0,0.0,No,121.0,0.0,No,42.0,0.0,No,41.0,1
28,4865.0,4865.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
29,4796.0,0.0,No,152.0,0.0,No,68.0,0.0,No,68.0,1
30,4735.0,0.0,No,299.0,0.0,No,213.0,0.0,No,212.0,1
31,4821.0,0.0,No,136.0,0.0,No,55.0,0.0,No,52.0,1
32,4698.0,0.0,No,96.0,0.0,No,21.0,0.0,No,20.0,1
33,4739.0,0.0,No,108.0,0.0,No,10.0,0.0,No,10.0,1
34,4640.0,0.0,No,92.0,0.0,No,25.0,0.0,No,24.0,1
35,4779.0,0.0,No,213.0,0.0,No,129.0,0.0,No,127.0,1
36,4853.0,0.0,No,121.0,0.0,No,33.0,0.0,No,32.0,1
37,4817.0,0.0,No,88.0,0.0,No,22.0,0.0,No,21.0,1
38,4685.0,0.0,No,114.0,0.0,No,42.0,0.0,No,42.0,1
39,4759.0,0.0,No,135.0,0.0,No,39.0,0.0,No,38.0,1
40,4836.0,0.0,No,125.0,0.0,No,25.0,0.0,No,25.0,1
41,4649.0,0.0,No,120.0,0.0,No,39.0,0.0,No,36.0,1
42,4796.0,4796.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
43,4682.0,0.0,No,122.0,0.0,No,20.0,0.0,No,17.0,1
44,4824.0,0.0,No,148.0,0.0,No,52.0,0.0,No,50.0,1
45,4749.0,0.0,No,186.0,0.0,No,95.0,0.0,No,93.0,1
46,4635.0,4635.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
47,4719.0,0.0,No,155.0,0.0,No,71.0,0.0,No,70.0,1
48,4735.0,0.0,No,127.0,0.0,No,47.0,0.0,No,47.0,1
49,174.0,0.0,No,6.0,0.0,No,1.0,0.0,No,0.0,1
50,4677.0,0.0,No,200.0,0.0,No,121.0,0.0,No,120.0,1
51,4736.0,0.0,No,180.0,0.0,No,96.0,0.0,No,93.0,1
52,4854.0,0.0,No,131.0,0.0,No,39.0,0.0,No,36.0,1
53,4715.0,0.0,No,147.0,0.0,No,65.0,0.0,No,65.0,1
54,4801.0,0.0,No,119.0,0.0,No,35.0,0.0,No,31.0,1
55,4768.0,0.0,No,114.0,0.0,No,23.0,0.0,No,20.0,1
56,4711.0,0.0,No,152.0,0.0,No,78.0,0.0,No,77.0,1
57,4870.0,0.0,No,98.0,0.0,No,26.0,0.0,No,25.0,1
58,4727.0,0.0,No,118.0,0.0,No,37.0,0.0,No,36.0,1
59,4752.0,0.0,No,126.0,0.0,No,51.0,0.0,No,51.0,1
60,4606.0,0.0,No,127.0,0.0,No,49.0,0.0,No,49.0,1
61,4856.0,0.0,No,180.0,0.0,No,86.0,0.0,No,86.0,1
62,4695.0,0.0,No,271.0,0.0,No,181.0,0.0,No,181.0,1
63,4745.0,0.0,No,161.0,0.0,No,64.0,0.0,No,64.0,1
64,4719.0,0.0,No,128.0,0.0,No,49.0,0.0,No,48.0,1
65,4783.0,0.0,No,179.0,0.0,No,74.0,0.0,No,74.0,1
66,4891.0,0.0,No,119.0,0.0,No,13.0,0.0,No,13.0,1
67,4814.0,0.0,No,134.0,0.0,No,39.0,0.0,No,39.0,1
68,4663.0,0.0,No,112.0,0.0,No,24.0,0.0,No,23.0,1
69,4706.0,0.0,No,148.0,0.0,No,43.0,0.0,No,41.0,1
70,4717.0,0.0,No,111.0,0.0,No,14.0,0.0,No,12.0,1
71,4796.0,0.0,No,109.0,0.0,No,22.0,0.0,No,22.0,1
72,4652.0,0.0,No,97.0,0.0,No,10.0,0.0,No,9.0,1
73,4687.0,0.0,No,270.0,0.0,No,197.0,0.0,No,197.0,1
74,4850.0,0.0,No,116.0,0.0,No,42.0,0.0,No,42.0,1
75,4669.0,0.0,No,138.0,0.0,No,41.0,0.0,No,39.0,1
76,4676.0,4676.0,No,0.0,0.0,Yes,0.0,0.0,Yes,0.0,1
77,4682.0,0.0,No,121.0,0.0,No,39.0,0.0,No,38.0,1
