"","Mass","Type","Total_CFU","Cont","RE"
"1","Baseline","Baseline",935526,"100%",0
"2","2 Tomatoes","Preharvest",807588,"100%",0.136755151647309
"3","6 Tomatoes","Preharvest",671543,"100%",0.282176016486982
"4","20 Tomatoes","Preharvest",559427,"100%",0.402018757362168
"5","60 Tomatoes","Preharvest",523675,"100%",0.440234691499755
"6","20 Tomato Mash","Preharvest",758094,"100%",0.189660148408489
"7","60 Tomato Mash","Preharvest",621010,"100%",0.336191618405047
"8","2 Tomatoes","Harvest",609169,"100%",0.348848669090971
"9","6 Tomatoes","Harvest",661695,"100%",0.292702714836359
"10","20 Tomatoes","Harvest",92860,"100%",0.900740332176765
"11","60 Tomatoes","Harvest",20227,"100%",0.978379008172942
"12","20 Tomato Mash","Harvest",499422,"100%",0.46615914469507
"13","60 Tomato Mash","Harvest",231961,"100%",0.752052855826562
"14","2 Tomatoes","Receiving",679581,"100%",0.273584058593775
"15","6 Tomatoes","Receiving",320142,"100%",0.657794652420136
"16","20 Tomatoes","Receiving",94670,"100%",0.898805591720593
"17","60 Tomatoes","Receiving",17520,"100%",0.981272567518166
"18","20 Tomato Mash","Receiving",501292,"100%",0.464160269196153
"19","60 Tomato Mash","Receiving",248505,"100%",0.73436868670673
"20","2 Tomatoes","Packed Product",885617,"100%",0.0533485974735068
"21","6 Tomatoes","Packed Product",820489,"100%",0.122965048539538
"22","20 Tomatoes","Packed Product",639610,"100%",0.316309755153785
"23","60 Tomatoes","Packed Product",375995,"100%",0.598092410045258
"24","20 Tomato Mash","Packed Product",879968,"100%",0.0593869117480433
"25","60 Tomato Mash","Packed Product",372721,"100%",0.601592045544432
"26","Baseline","Baseline",862573,"10%",0
"27","2 Tomatoes","Preharvest",761971,"10%",0.116630128696354
"28","6 Tomatoes","Preharvest",729905,"10%",0.153804953319893
"29","20 Tomatoes","Preharvest",564258,"10%",0.345843192402266
"30","60 Tomatoes","Preharvest",470673,"10%",0.454338357449167
"31","20 Tomato Mash","Preharvest",709115,"10%",0.177907261182532
"32","60 Tomato Mash","Preharvest",563621,"10%",0.346581680622973
"33","2 Tomatoes","Harvest",731915,"10%",0.151474715763188
"34","6 Tomatoes","Harvest",554502,"10%",0.357153539468544
"35","20 Tomatoes","Harvest",201783,"10%",0.766068495072301
"36","60 Tomatoes","Harvest",29748,"10%",0.965512484160761
"37","20 Tomato Mash","Harvest",483550,"10%",0.439409765898075
"38","60 Tomato Mash","Harvest",237762,"10%",0.724357242807275
"39","2 Tomatoes","Receiving",726759,"10%",0.157452180858895
"40","6 Tomatoes","Receiving",563183,"10%",0.347089463732345
"41","20 Tomatoes","Receiving",207858,"10%",0.759025612904647
"42","60 Tomatoes","Receiving",31306,"10%",0.963706260223772
"43","20 Tomato Mash","Receiving",498276,"10%",0.422337587659247
"44","60 Tomato Mash","Receiving",255502,"10%",0.703790867555558
"45","2 Tomatoes","Packed Product",826120,"10%",0.0422607709724279
"46","6 Tomatoes","Packed Product",779920,"10%",0.0958214551116253
"47","20 Tomatoes","Packed Product",657738,"10%",0.237469756182955
"48","60 Tomatoes","Packed Product",381621,"10%",0.557578315110721
"49","20 Tomato Mash","Packed Product",807708,"10%",0.0636062107207158
"50","60 Tomato Mash","Packed Product",702991,"10%",0.185006950136394
"51","Baseline","Baseline",929335,"1%",0
"52","2 Tomatoes","Preharvest",912404,"1%",0.0182184034820597
"53","6 Tomatoes","Preharvest",903714,"1%",0.0275691758085083
"54","20 Tomatoes","Preharvest",843923,"1%",0.0919065783597949
"55","60 Tomatoes","Preharvest",744297,"1%",0.199107964297051
"56","20 Tomato Mash","Preharvest",856359,"1%",0.0785249667773192
"57","60 Tomato Mash","Preharvest",759687,"1%",0.182547735746528
"58","2 Tomatoes","Harvest",907423,"1%",0.0235781499674499
"59","6 Tomatoes","Harvest",877083,"1%",0.0562251502418396
"60","20 Tomatoes","Harvest",843200,"1%",0.0926845540090495
"61","60 Tomatoes","Harvest",524781,"1%",0.43531557511554
"62","20 Tomato Mash","Harvest",786246,"1%",0.15396923606665
"63","60 Tomato Mash","Harvest",558317,"1%",0.399229556618442
"64","2 Tomatoes","Receiving",909987,"1%",0.0208191879139384
"65","6 Tomatoes","Receiving",880202,"1%",0.0528689869637967
"66","20 Tomatoes","Receiving",752600,"1%",0.190173618770411
"67","60 Tomatoes","Receiving",524217,"1%",0.435922460684253
"68","20 Tomato Mash","Receiving",790674,"1%",0.149204538729306
"69","60 Tomato Mash","Receiving",560627,"1%",0.3967439082785
"70","2 Tomatoes","Packed Product",918963,"1%",0.0111606686501639
"71","6 Tomatoes","Packed Product",888484,"1%",0.0439572382402471
"72","20 Tomatoes","Packed Product",796349,"1%",0.143098021703691
"73","60 Tomatoes","Packed Product",597239,"1%",0.357347996147783
"74","20 Tomato Mash","Packed Product",876034,"1%",0.0573539143581163
"75","60 Tomato Mash","Packed Product",800428,"1%",0.138708861712945
"76","Baseline","Baseline",936006,"0.1%",0
"77","2 Tomatoes","Preharvest",937735,"0.1%",-0.00184721038113
"78","6 Tomatoes","Preharvest",936721,"0.1%",-0.000763883992196623
"79","20 Tomatoes","Preharvest",920928,"0.1%",0.0161088710969801
"80","60 Tomatoes","Preharvest",908216,"0.1%",0.0296899806197823
"81","20 Tomato Mash","Preharvest",924475,"0.1%",0.0123193654741529
"82","60 Tomato Mash","Preharvest",908069,"0.1%",0.0298470308951011
"83","2 Tomatoes","Harvest",938721,"0.1%",-0.00290062243190747
"84","6 Tomatoes","Harvest",935490,"0.1%",0.000551278517445408
"85","20 Tomatoes","Harvest",913334,"0.1%",0.0242220669525622
"86","60 Tomatoes","Harvest",872480,"0.1%",0.0678692230605359
"87","20 Tomato Mash","Harvest",904872,"0.1%",0.0332626072909789
"88","60 Tomato Mash","Harvest",864510,"0.1%",0.0763841257427837
"89","2 Tomatoes","Receiving",939318,"0.1%",-0.00353843885616123
"90","6 Tomatoes","Receiving",933953,"0.1%",0.00219336200836318
"91","20 Tomatoes","Receiving",911610,"0.1%",0.026063935487593
"92","60 Tomatoes","Receiving",871110,"0.1%",0.0693328888917378
"93","20 Tomato Mash","Receiving",905876,"0.1%",0.0321899645942441
"94","60 Tomato Mash","Receiving",864540,"0.1%",0.076352074666188
"95","2 Tomatoes","Packed Product",937531,"0.1%",-0.00162926306027944
"96","6 Tomatoes","Packed Product",933711,"0.1%",0.00245190735956824
"97","20 Tomatoes","Packed Product",893897,"0.1%",0.0449879594788922
"98","60 Tomatoes","Packed Product",820628,"0.1%",0.12326630384848
"99","20 Tomato Mash","Packed Product",907227,"0.1%",0.0307465977782194
"100","60 Tomato Mash","Packed Product",872683,"0.1%",0.0676523441089053
