"","Type","Mass","variable","Cont","mean","CI_95","CI_05"
"1","Preharvest","2 Tomatoes","Power_Pick_1","100%",0.05,0.072,0.029
"2","Preharvest","2 Tomatoes","Power_Pick_1","10%",0.025,0.042,0.01
"3","Preharvest","2 Tomatoes","Power_Pick_1","1%",0.01,0.021,0
"4","Preharvest","2 Tomatoes","Power_Pick_1","0.1%",0,0,0
"5","Preharvest","2 Tomatoes","Power_Pick_2","100%",0.06,0.081,0.04
"6","Preharvest","2 Tomatoes","Power_Pick_2","10%",0.035,0.06,0.02
"7","Preharvest","2 Tomatoes","Power_Pick_2","1%",0.01,0.011,0
"8","Preharvest","2 Tomatoes","Power_Pick_2","0.1%",0,0,0
"9","Preharvest","2 Tomatoes","Power_Pick_3","100%",0.05,0.09,0.039
"10","Preharvest","2 Tomatoes","Power_Pick_3","10%",0.03,0.05,0.019
"11","Preharvest","2 Tomatoes","Power_Pick_3","1%",0.01,0.03,0
"12","Preharvest","2 Tomatoes","Power_Pick_3","0.1%",0,0.00100000000000001,0
"13","Preharvest","6 Tomatoes","Power_Pick_1","100%",0.125,0.151,0.088
"14","Preharvest","6 Tomatoes","Power_Pick_1","10%",0.07,0.11,0.04
"15","Preharvest","6 Tomatoes","Power_Pick_1","1%",0.015,0.04,0
"16","Preharvest","6 Tomatoes","Power_Pick_1","0.1%",0,0.00100000000000001,0
"17","Preharvest","6 Tomatoes","Power_Pick_2","100%",0.125,0.182,0.09
"18","Preharvest","6 Tomatoes","Power_Pick_2","10%",0.08,0.13,0.05
"19","Preharvest","6 Tomatoes","Power_Pick_2","1%",0.02,0.031,0.01
"20","Preharvest","6 Tomatoes","Power_Pick_2","0.1%",0,0.01,0
"21","Preharvest","6 Tomatoes","Power_Pick_3","100%",0.12,0.161,0.099
"22","Preharvest","6 Tomatoes","Power_Pick_3","10%",0.07,0.102,0.05
"23","Preharvest","6 Tomatoes","Power_Pick_3","1%",0.02,0.041,0.01
"24","Preharvest","6 Tomatoes","Power_Pick_3","0.1%",0,0.01,0
"25","Preharvest","20 Tomatoes","Power_Pick_1","100%",0.225,0.26,0.149
"26","Preharvest","20 Tomatoes","Power_Pick_1","10%",0.16,0.212,0.12
"27","Preharvest","20 Tomatoes","Power_Pick_1","1%",0.045,0.071,0.019
"28","Preharvest","20 Tomatoes","Power_Pick_1","0.1%",0,0.01,0
"29","Preharvest","20 Tomatoes","Power_Pick_2","100%",0.22,0.263,0.19
"30","Preharvest","20 Tomatoes","Power_Pick_2","10%",0.185,0.222,0.147
"31","Preharvest","20 Tomatoes","Power_Pick_2","1%",0.07,0.091,0.039
"32","Preharvest","20 Tomatoes","Power_Pick_2","0.1%",0.01,0.02,0
"33","Preharvest","20 Tomatoes","Power_Pick_3","100%",0.22,0.261,0.188
"34","Preharvest","20 Tomatoes","Power_Pick_3","10%",0.185,0.231,0.149
"35","Preharvest","20 Tomatoes","Power_Pick_3","1%",0.06,0.102,0.04
"36","Preharvest","20 Tomatoes","Power_Pick_3","0.1%",0.01,0.021,0
"37","Preharvest","60 Tomatoes","Power_Pick_1","100%",0.265,0.32,0.178
"38","Preharvest","60 Tomatoes","Power_Pick_1","10%",0.23,0.265,0.158
