,InitialCont,ClusteringPer,ClusterSize,Time_CE_H,SampleSize,SamplesPSublot,NumberGrabs,Harvest Wash Red,Pre_cooling,WashingYN,TotalCFUFP
0,4540000.0,3.0,100.0,5.912657858234916,240.0,3.0,1.0,1.2066587102438835,False,True,30.0
1,4540.0,1.0,100.0,6.622238752448307,240.0,7.0,1200.0,1.1553034565076759,False,False,0.0
2,45400000.0,2.0,100.0,2.722563557540184,240.0,10.0,60.0,1.397845832200353,True,False,4724.0
3,454000000.0,1.0,100000.0,3.342757487850596,1200.0,8.0,300.0,1.193160097800189,True,False,41070.0
4,4540000.0,1.0,100000.0,4.5416690378837155,1200.0,7.0,240.0,1.3083611212521824,True,True,0.0
5,454000000.0,1.0,100.0,5.757209763252758,600.0,2.0,1.0,1.2688882522208007,False,False,11647.0
6,4540.0,4.0,100.0,3.990065583683229,240.0,2.0,1.0,1.2203961064549638,False,False,0.0
7,45400000.0,1.0,100000.0,3.6345625865419358,60.0,4.0,1200.0,1.3631959876800006,True,True,668.0
8,454000000.0,3.0,1000.0,4.25634071301093,600.0,7.0,240.0,1.3042796351827048,False,False,0.0
9,4540000.0,4.0,100.0,4.269392974592359,60.0,4.0,600.0,1.1731580088564701,False,False,0.0
10,45400000.0,1.0,100000.0,4.12811671128796,600.0,10.0,600.0,1.2646969137152737,True,True,0.0
11,4540.0,2.0,1000.0,4.365253761831758,120.0,6.0,240.0,1.3981547301892536,False,False,0.0
12,454000.0,1.0,10000.0,3.66388078732294,1200.0,7.0,240.0,1.303570607275926,True,False,25.0
13,454000.0,3.0,1000.0,4.35798804983566,240.0,5.0,120.0,1.1118612757151145,True,False,0.0
14,45400000.0,1.0,100.0,4.199712836830831,60.0,3.0,60.0,1.3154403573324234,True,True,0.0
15,4540.0,4.0,1000.0,3.3752935704188074,120.0,4.0,120.0,1.3188351950333783,False,True,0.0
16,4540000.0,1.0,1000.0,4.378667250280394,120.0,5.0,300.0,1.259940231887346,True,False,0.0
17,454000000.0,1.0,100.0,5.496827813494007,1200.0,5.0,1200.0,1.240009643294621,True,True,0.0
18,45400.0,1.0,10000.0,4.492874330722451,240.0,4.0,60.0,1.220024495262286,True,False,0.0
19,454000.0,1.0,100.0,3.7636672542689733,60.0,3.0,300.0,1.3784555114230592,True,False,20.0
20,45400000.0,1.0,100000.0,2.5178569964275863,600.0,7.0,1200.0,1.3856658163208762,True,True,1434.0
21,4540.0,3.0,100.0,2.2178823166900323,1200.0,9.0,60.0,1.3146660736586542,True,True,0.0
22,4540.0,3.0,100.0,3.3702427178324905,60.0,8.0,600.0,1.235058680095618,True,True,0.0
23,4540.0,1.0,100000.0,3.259593179238715,240.0,10.0,60.0,1.2570946214465213,True,True,0.0
24,454000000.0,4.0,100.0,5.9726228863059365,1200.0,1.0,240.0,1.1484761851176,False,False,0.0
25,45400.0,1.0,100000.0,6.0983293157442535,600.0,1.0,600.0,1.343364724446049,False,True,0.0
26,454000000.0,3.0,100.0,4.263027781406775,60.0,10.0,300.0,1.1447221490300974,False,False,0.0
27,454000.0,1.0,100000.0,4.640736925772074,1200.0,2.0,600.0,1.2699963254835571,True,False,0.0
28,454000000.0,1.0,10000.0,4.389114327202185,1200.0,6.0,1200.0,1.2164582309022187,True,False,0.0
29,4540000.0,4.0,1000.0,2.8348425626034786,240.0,3.0,1200.0,1.2907875617254585,True,False,489.0
30,45400.0,3.0,1000.0,5.163458468069463,1200.0,3.0,240.0,1.2977793661048231,True,False,0.0
31,454000.0,2.0,1000.0,5.378725208742252,240.0,10.0,1.0,1.2771942474495628,True,False,6.0
32,45400.0,2.0,100.0,2.0891170356899105,60.0,6.0,1200.0,1.3312252274097007,False,True,0.0
33,4540.0,1.0,100000.0,6.241861213401382,1200.0,7.0,600.0,1.310731263869891,True,False,0.0
34,454000.0,3.0,10000.0,3.552185279306582,60.0,8.0,1200.0,1.1977203542926604,False,False,44.0
35,4540.0,1.0,100000.0,3.336565924668136,120.0,9.0,240.0,1.1903490051293029,True,True,0.0
