,InitialCont,ClusterSize,Time_CE_H,Total_CE_H_Dieoff,Time_H_PC,Temp_H_PC,Time Precooling,Temp Precooling,Pre_cooling,Time_Storage_R,Temp_Storage_R,PreWashRed,PreWashYN,WashingYN,Tr_Sh_P,Tr_P_Sh,Sh_Compliance,Sh_San_freq,Sh_San_Eff,Tr_Cv_P,Tr_P_Cv,Cv_Compliance,Cv_San_freq,Cv_San_Eff,Tr_St_P,Tr_P_St,St_Compliance,St_San_freq,St_San_Eff,Tr_C_P,Tr_P_C,C_Compliance,C_San_freq,C_San_Eff,TotalCFUFP,PropCont
0,100000.0,1000.0,4.678923500966654,-3.470972894820293,2.538437101380053,16.540256471033167,0.43286350028923765,3.8929680086848224,False,6.070685092910377,5.236997484344418,1.1192400378754108,True,True,0.218451204013067,0.004553621347430687,0.0,7500.0,-2.0,0.18794751830602469,0.004517899991213004,0.0,2500.0,-4.0,0.27375118187612113,0.000678856497352632,0.5,5000.0,-2.0,0.28516036666563505,0.0028546385546197686,1.0,2500.0,-2.0,0.0,0.0
1,100000.0,10000.0,3.1798882183454937,-2.1830456104183176,2.5046176555574937,16.531300455391413,0.5868399523330559,3.3929308884900777,True,5.220410061196479,5.592846373832698,1.45600167962778,True,True,0.17282888013722986,0.0017348378166219633,0.25,2500.0,-1.0,0.15270039660192888,0.006983358914839122,1.0,5000.0,-3.0,0.2195986944717029,0.0008025252628401525,0.5,5000.0,-2.0,0.2813410245220245,0.009999909173122882,0.5,7500.0,-3.0,1.0,5e-05
2,100000.0,10000.0,4.423114744275269,-3.176908393149246,2.4592567195495554,15.261837832453889,0.5843418908849576,3.501330248748828,True,5.6922300383027284,4.258603929209791,1.3687489409122442,False,True,0.19565716335470967,0.004646615009371696,0.25,5000.0,-4.0,0.17989841572906476,0.010766509793485396,0.25,5000.0,-3.0,0.21428536219874672,0.0016270365297865082,0.25,5000.0,-3.0,0.27940908707474305,0.0040519560280928,0.0,5000.0,-2.0,6.0,0.0003
3,100000.0,100000.0,4.489877384325487,-2.5645006045031633,2.714668762313212,15.289216392273284,0.536258802000202,3.843161597361653,False,6.985294911081569,4.1302591528614165,1.2556117084725278,True,True,0.17340467749370136,0.003897276065775817,1.0,2500.0,-4.0,0.17568778934639723,0.005884591085501071,0.25,5000.0,-3.0,0.21994066083003025,0.000763143689221403,0.5,2500.0,-2.0,0.23410147164682904,0.003452316592601715,0.0,7500.0,-2.0,0.0,0.0
4,100000.0,100000.0,4.0841799451375635,-1.8621075450708684,2.7015045134245947,16.638813429132878,0.5463556935324649,3.99987393432243,True,5.376977158797612,4.718278684182506,1.3504412371773709,True,False,0.22567977807778444,0.0029176004549660885,0.0,7500.0,-4.0,0.18355803348225475,0.008901906597415757,0.0,7500.0,-1.0,0.16414754107789448,0.0006762989363207818,0.75,7500.0,-4.0,0.25452090706393066,0.0013051266154992488,0.5,7500.0,-4.0,13.0,0.00065
5,100000.0,10000.0,2.7514810395636746,-1.5584078147728946,2.7088294245453195,16.882912580311746,0.5252359798811983,3.4689166742558792,True,6.781775303585139,5.982291949429214,1.3946558669092948,False,True,0.20372469725876652,0.002623573138957641,0.25,5000.0,-2.0,0.18619313240785518,0.010316731909703909,0.5,2500.0,-2.0,0.14611137841344152,0.0023029985834340794,1.0,5000.0,-3.0,0.2900039813387957,0.006229449019583231,0.0,7500.0,-1.0,2628.0,0.055
6,100000.0,1000.0,4.194646728465086,-2.8685344968827517,3.0766064926500922,16.63073146433243,0.5475356170701333,3.389916917083463,False,5.187163954616945,5.88464596968438,1.3285945525115208,True,True,0.2133065069207995,0.0017575219231027392,0.25,5000.0,-4.0,0.19498392258434535,0.0040859866165822946,0.25,2500.0,-1.0,0.2788628531272292,0.0005476776308817522,0.0,5000.0,-3.0,0.2732848584255818,0.007047442693615891,0.0,5000.0,-4.0,0.0,0.0
7,100000.0,10000.0,4.358245956894809,-2.8732440886053245,3.5592604621732895,15.202939255617368,0.5079290011669889,3.156960010428484,False,5.7611179219698645,4.180912522496834,1.1259664648854086,False,True,0.19731963555123405,0.004157765695504476,0.75,2500.0,-4.0,0.20473812558394938,0.005443305523711023,0.25,7500.0,-3.0,0.24734642616205668,0.0006372956386397929,0.5,2500.0,-3.0,0.2370444291824939,0.003867012206829336,0.75,2500.0,-3.0,2.0,0.0001
8,100000.0,1000.0,4.965238281044306,-3.8349142447358058,3.3857563887039364,15.361572536358358,0.5893282633310178,3.3894745935557955,True,5.861876071407914,4.416291583578767,1.3223440717407229,True,True,0.21775618970869726,0.00253448079273842,0.0,5000.0,-4.0,0.1845140967309496,0.011017193359799077,0.5,7500.0,-2.0,0.17010430185856298,0.001590831328896113,0.0,7500.0,-1.0,0.2604031924121758,0.002362528912574163,0.75,7500.0,-4.0,0.0,0.0
9,100000.0,10000.0,1.54366920758542,-1.120570555482608,2.957309046155685,15.312128214653125,0.5183627768081145,3.9475156781793737,True,5.407623950404048,4.770209602531094,1.4267124536755325,True,True,0.18606153844019113,0.002716194260977752,0.0,2500.0,-1.0,0.17230330429322332,0.011270390198249613,0.25,7500.0,-1.0,0.2339614537203568,0.0007570277561839913,0.25,2500.0,-3.0,0.28963712552669363,0.008350669446827889,0.25,7500.0,-1.0,24.0,0.0012
