,Sample_Size,Number_of_Grabs,Cluster_Size,Contamination_Level,PerReject
0,480,120,25000,50000,0.6666666666666666
1,480,120,100,25000,0.4444444444444444
2,60,30,100,1000,0.2962962962962963
3,480,30,50000,100,0.2222222222222222
4,480,1,25000,1000,0.17777777777777778
5,960,30,100,100,0.14814814814814814
6,60,240,25000,100000,0.14285714285714285
7,480,60,100000,25000,0.1527777777777778
8,480,1,100000,100000,0.20987654320987653
9,480,120,25000,100,0.18888888888888888
10,240,30,50000,25000,0.1919191919191919
11,480,30,25000,1000,0.17592592592592593
12,480,1,25000,10000,0.1623931623931624
13,960,240,100,1000,0.15079365079365079
14,960,60,10000,100,0.14074074074074075
15,960,480,100,100000,0.18055555555555555
16,480,480,25000,100000,0.19607843137254902
17,60,120,10000,100,0.18518518518518517
18,480,240,10000,1000,0.17543859649122806
19,120,60,50000,1000,0.16666666666666666
20,60,1,50000,50000,0.15873015873015872
21,240,30,25000,10000,0.15151515151515152
22,120,240,100,25000,0.14492753623188406
23,120,120,10000,100,0.1388888888888889
24,120,60,1000,100000,0.13777777777777778
25,960,30,10000,1000,0.13247863247863248
26,480,480,100,1000,0.12757201646090535
27,240,30,50000,100000,0.1388888888888889
28,240,120,100000,25000,0.13793103448275862
29,240,1,50000,100,0.13333333333333333
30,60,480,100000,100,0.12903225806451613
31,60,240,100000,50000,0.125
32,480,120,100,100000,0.12121212121212122
33,120,240,10000,100,0.11764705882352941
34,240,30,1000,25000,0.11746031746031746
35,120,120,1000,1000,0.11419753086419752
36,120,480,100,100000,0.11711711711711711
37,240,60,100000,100000,0.13157894736842105
38,240,60,100000,10000,0.13105413105413105
39,120,60,100,100000,0.12777777777777777
40,120,60,100,10000,0.12466124661246612
41,480,240,100000,100,0.12169312169312169
42,120,480,100,1000,0.11886304909560723
43,480,120,50000,50000,0.12626262626262627
44,60,30,10000,25000,0.12345679012345678
45,120,120,50000,100,0.12077294685990338
46,120,240,100,100000,0.12293144208037825
47,120,240,100000,100000,0.12268518518518519
48,120,240,10000,100,0.12018140589569161
49,480,30,50000,100,0.11777777777777777
50,480,120,100,50000,0.11982570806100218
51,60,240,100000,50000,0.11965811965811966
52,960,60,10000,10000,0.11949685534591195
53,960,60,100,25000,0.11728395061728394
54,120,240,10000,10000,0.11515151515151516
55,120,240,100,50000,0.1130952380952381
56,60,30,100,50000,0.1111111111111111
57,60,120,100,1000,0.10919540229885058
58,240,60,10000,50000,0.11299435028248588
59,960,240,100,25000,0.1111111111111111
60,60,60,1000,50000,0.1092896174863388
61,960,240,10000,1000,0.10752688172043011
62,60,60,25000,100000,0.10582010582010581
63,120,1,50000,50000,0.10416666666666667
64,240,60,100,50000,0.10427350427350428
65,240,30,1000,100,0.1026936026936027
66,960,240,1000,1000,0.10281923714759536
67,480,30,25000,100000,0.1111111111111111
68,240,240,50000,10000,0.1111111111111111
69,120,1,10000,1000,0.10952380952380952
70,960,30,50000,100000,0.12050078247261346
71,960,240,100000,100,0.11882716049382716
72,60,240,10000,100,0.1171993911719939
73,60,240,10000,100000,0.11561561561561562
74,240,30,100,100,0.11407407407407408
75,120,480,50000,25000,0.11403508771929824
76,120,30,10000,50000,0.11544011544011544
77,480,120,1000,10000,0.11396011396011396
78,480,120,25000,50000,0.11392405063291139
79,120,480,50000,100000,0.11527777777777778
80,240,240,50000,100,0.11385459533607682
81,120,480,1000,1000,0.11246612466124661
82,960,1,25000,10000,0.11244979919678715
83,480,480,100,10000,0.11243386243386243
84,960,120,100000,50000,0.12026143790849673
85,120,480,10000,100,0.11886304909560723
86,240,1,10000,1000,0.11749680715197956
87,960,1,25000,10000,0.12121212121212122
88,240,120,100000,25000,0.12234706616729088
89,60,240,25000,1000,0.12098765432098765
90,480,480,50000,100,0.11965811965811966
91,120,480,100,50000,0.12077294685990338
92,960,240,10000,25000,0.12186379928315412
93,960,1,10000,100,0.12056737588652482
94,480,60,10000,100000,0.12280701754385964
95,60,240,100000,10000,0.12152777777777778
96,120,60,25000,1000,0.12027491408934708
97,960,30,1000,1000,0.11904761904761904
98,120,120,1000,50000,0.11896745230078563
